0.191314   10
0.193951   10
0.196701   10
0.211634   10
0.223428   10
0.212813   10
0.216021   10
0.207002   10
0.196853   10
0.194171   10
0.194117   10
0.194182   10
0.202768   10
0.200663   10
0.202249   10
0.195553   10
0.192033   10
0.187264   10
0.189247   10
0.188274   10
0.19418   10
0.190617   9.5
0.194032   9.5
0.193786   9.5
0.202852   9.5
0.188849   9.5
0.186451   9.5
0.188795   9.5
0.189742   9.5
0.182183   9.5
0.189365   9.5
0.186272   9.5
0.188313   9.5
0.193796   9.5
0.189438   9.5
0.188242   9.5
0.18773   9.5
0.191869   9.5
0.201423   9.5
0.197399   9.5
0.190249   9.5
0.190898   9.025
0.204572   9.025
0.187627   9.025
0.188491   9.025
0.186471   9.025
0.183089   9.025
0.187929   9.025
0.187901   9.025
0.189009   9.025
0.192168   9.025
0.190646   9.025
0.192137   9.025
0.189334   9.025
0.191798   9.025
0.190074   9.025
0.19366   9.025
0.194267   9.025
0.194969   9.025
0.196429   9.025
0.207505   9.025
0.200579   8.57375
0.197156   8.57375
0.200431   8.57375
0.200123   8.57375
0.21174   8.57375
0.225108   8.57375
0.205404   8.57375
0.212184   8.57375
0.216272   8.57375
0.207128   8.57375
0.200901   8.57375
0.200338   8.57375
0.201414   8.57375
0.199158   8.57375
0.199067   8.57375
0.199918   8.57375
0.206654   8.57375
0.204982   8.57375
0.210688   8.57375
0.219232   8.57375
0.226332   8.14506
0.227091   8.14506
0.2119   8.14506
0.20359   8.14506
0.20741   8.14506
0.211771   8.14506
0.204192   8.14506
0.207061   8.14506
0.20787   8.14506
0.219193   8.14506
0.227124   8.14506
0.216115   8.14506
0.227063   8.14506
0.240872   8.14506
0.248968   8.14506
0.235127   8.14506
0.230442   8.14506
0.236849   8.14506
0.245894   8.14506
0.243713   8.14506
0.257225   7.73781
0.258419   7.73781
0.240732   7.73781
0.234574   7.73781
0.252689   7.73781
0.241907   7.73781
0.232206   7.73781
0.251908   7.73781
0.264281   7.73781
0.26433   7.73781
0.281949   7.73781
0.269691   7.73781
0.258244   7.73781
0.257546   7.73781
0.254712   7.73781
0.257414   7.73781
0.25283   7.73781
0.241859   7.73781
0.259942   7.73781
0.266684   7.73781
0.248032   7.35092
0.251282   7.35092
0.260967   7.35092
0.266624   7.35092
0.24836   7.35092
0.261254   7.35092
0.257078   7.35092
0.261338   7.35092
0.242796   7.35092
0.216841   7.35092
0.236846   7.35092
0.237382   7.35092
0.238948   7.35092
0.21632   7.35092
0.216985   7.35092
0.22904   7.35092
0.230324   7.35092
0.220324   7.35092
0.212611   7.35092
0.218662   7.35092
0.224497   6.98337
0.224948   6.98337
0.228436   6.98337
0.232534   6.98337
0.233418   6.98337
0.23291   6.98337
0.234292   6.98337
0.226619   6.98337
0.236625   6.98337
0.24599   6.98337
0.265951   6.98337
0.25393   6.98337
0.246387   6.98337
0.253629   6.98337
0.236885   6.98337
0.241678   6.98337
0.225191   6.98337
0.228428   6.98337
0.22507   6.98337
0.235199   6.98337
0.246718   6.6342
0.248532   6.6342
0.243167   6.6342
0.2367   6.6342
0.226025   6.6342
0.237058   6.6342
0.256685   6.6342
0.250183   6.6342
0.259108   6.6342
0.255769   6.6342
0.261274   6.6342
0.258259   6.6342
0.25172   6.6342
0.255651   6.6342
0.25532   6.6342
0.263364   6.6342
0.251595   6.6342
0.268871   6.6342
0.275687   6.6342
0.258738   6.6342
0.256432   6.30249
0.268576   6.30249
0.290584   6.30249
0.308774   6.30249
0.320025   6.30249
0.307602   6.30249
0.316475   6.30249
0.324237   6.30249
0.340224   6.30249
0.339037   6.30249
0.347625   6.30249
0.329751   6.30249
0.315022   6.30249
0.298608   6.30249
0.302195   6.30249
0.289027   6.30249
0.299487   6.30249
0.311332   6.30249
0.316756   6.30249
0.297174   6.30249
0.308023   5.98737
0.308029   5.98737
0.321799   5.98737
0.323287   5.98737
0.301439   5.98737
0.290395   5.98737
0.292242   5.98737
0.286491   5.98737
0.284798   5.98737
0.289622   5.98737
0.292557   5.98737
0.291302   5.98737
0.270298   5.98737
0.268339   5.98737
0.269086   5.98737
0.270152   5.98737
0.277797   5.98737
0.264954   5.98737
0.269016   5.98737
0.267575   5.98737
0.287864   5.688
0.297786   5.688
0.299938   5.688
0.301884   5.688
0.293156   5.688
0.305181   5.688
0.30014   5.688
0.296193   5.688
0.282557   5.688
0.29648   5.688
0.325658   5.688
0.320114   5.688
0.304813   5.688
0.307136   5.688
0.307217   5.688
0.305101   5.688
0.314489   5.688
0.33208   5.688
