name lon lat ele num
HSD_CH_SLFCMA 9.183462 46.846873 2325 22
HSD_CH_SLFCON 7.27419 46.289739 2229 3
HSD_CH_SLFCSL 7.0333 47.1167 1455 695
HSD_CH_SLFDA2 9.819411 46.698895 2558 54
HSD_CH_SLFDA3 9.773994 46.788842 2455 69
HSD_CH_SLFDIA 7.241035 46.315395 2569 2
HSD_CH_SLFDT2 8.869067 46.542856 2057 37
HSD_CH_SLFEGH 8.091695 46.416793 2500 2
HSD_CH_SLFEL2 9.714702 46.591417 2726 36
HSD_CH_SLFEM2 9.136504 46.935611 2058 54
HSD_CH_SLFEN2 9.1833 47 2162 56
HSD_CH_SLFES2 7.641645 46.529601 2143 14
HSD_CH_SLFFA2 7.495283 46.520425 1971 11
HSD_CH_SLFFIR 8.064398 46.668787 2111 61
HSD_CH_SLFFIS 7.673875 46.471465 2155 13
HSD_CH_SLFFLU 9.946457 46.752732 2394 51
HSD_CH_SLFFN2 6.964078 46.10077 2252 19
HSD_CH_SLFFO2 7.0333 45.9833 2942 10
HSD_CH_SLFFRA 8.853172 46.338227 2100 21
HSD_CH_SLFFU2 7.089657 46.19469 2602 8
HSD_CH_SLFFUS 8.620155 46.437607 2390 33
HSD_CH_SLFGA2 7.760604 46.42926 2710 5
HSD_CH_SLFGAD 8.397488 46.744178 2063 35
HSD_CH_SLFGL2 9.037588 46.996626 1632 179
HSD_CH_SLFGO2 8.232508 46.420452 2439 10
HSD_CH_SLFGO3 8.228547 46.489137 2427 6
HSD_CH_SLFGOR 7.783595 45.987165 2953 4
HSD_CH_SLFGR2 6.783537 46.346066 1984 483
HSD_CH_SLFGU2 8.2897 46.679307 2115 49
HSD_CH_SLFHT2 9.204341 46.544382 2147 30
HSD_CH_SLFHT3 9.348538 46.5365 2200 33
HSD_CH_SLFIL2 6.8333 46.1833 2020 246
HSD_CH_SLFJA2 7.274515 46.633164 1707 490
HSD_CH_SLFJU2 9.692318 46.478495 2430 7
HSD_CH_SLFKE2 9.9 46.6167 2725 45
HSD_CH_SLFKL2 9.873872 46.909116 2140 71
HSD_CH_SLFKL3 9.931682 46.841281 2299 92
HSD_CH_SLFLA2 9.744582 46.451354 2730 31
HSD_CH_SLFLA3 9.7 46.4167 2300 10
HSD_CH_SLFLE2 7.379855 46.426031 1970 21
HSD_CH_SLFLU2 8.783516 46.604149 2550 21
HSD_CH_SLFLUM 8.861436 46.731576 2388 33
HSD_CH_SLFMAE 7.95 46.6167 2165 32
HSD_CH_SLFME2 9.160299 46.414004 2380 66
HSD_CH_SLFMEI 8.551012 46.743754 2220 22
HSD_CH_SLFML2 9.611789 47.088465 1976 440
HSD_CH_SLFMO2 8.745622 46.938227 2083 34
HSD_CH_SLFMT2 9.017492 46.858767 2481 22
HSD_CH_SLFMTR 8.917597 46.408724 1884 3
HSD_CH_SLFMU2 7.9252 46.333066 2205 5
HSD_CH_SLFNA2 8.868646 46.472988 2077 19
HSD_CH_SLFNAS 10.255318 46.815037 2350 16
HSD_CH_SLFNE3 7.335345 46.143106 2204 1
HSD_CH_SLFOB2 8.315955 46.545224 2432 19
HSD_CH_SLFOB3 8.354475 46.507867 2194 7
HSD_CH_SLFOBM 7.214379 46.421767 2097 67
HSD_CH_SLFOF2 10.289055 46.631702 2359 10
HSD_CH_SLFORT 8.958549 46.918087 1824 102
HSD_CH_SLFOTT 7.561636 46.539704 2017 24
HSD_CH_SLFPAR 9.804839 46.851722 2290 93
HSD_CH_SLFPMA 9.537388 46.580082 2429 26
HSD_CH_SLFPU2 8.862479 46.626368 2196 20
HSD_CH_SLFRNZ 8.6333 46.6833 2400 40
HSD_CH_SLFRO2 7.993945 46.774324 1875 225
HSD_CH_SLFSA2 7.879335 46.171832 2480 9
HSD_CH_SLFSA3 7.9667 46.1167 2810 7
HSD_CH_SLFSA4 7.905903 46.124837 2680 6
HSD_CH_SLFSA5 7.9833 46.1333 2952 6
HSD_CH_SLFSC2 8.71734 46.812956 2032 25
HSD_CH_SLFSC3 8.779544 46.891536 2338 24
HSD_CH_SLFSCB 8.103433 46.779373 1777 227
HSD_CH_SLFSH2 7.834753 46.576902 2332 7
HSD_CH_SLFSHE 7.812447 46.748815 1852 177
HSD_CH_SLFSI2 8.980806 46.467467 2450 36
HSD_CH_SLFSMN 10.338342 46.956379 2512 67
HSD_CH_SLFSP2 8.117638 46.22942 2620 7
HSD_CH_SLFSP3 8.045158 46.178011 2424 10
HSD_CH_SLFST2 7.519657 46.682047 1791 183
HSD_CH_SLFSTN 7.75 46.1667 2910 5
HSD_CH_SLFTA2 9.390941 46.968343 2460 45
HSD_CH_SLFTA3 9.45 46.8833 2170 139
HSD_CH_SLFTIT 8.4095 46.78601 2149 42
HSD_CH_SLFTM2 9.021503 46.78105 2195 28
HSD_CH_SLFTR2 7.585568 46.370975 2459 1
HSD_CH_SLFTU2 8.723754 46.683891 2270 17
HSD_CH_SLFTU3 8.740216 46.646999 2220 20
HSD_CH_SLFUR2 8.513848 46.586791 2169 14
HSD_CH_SLFVD2 7.367506 46.321519 2385 3
HSD_CH_SLFVI2 10.442867 46.931772 2730 140
HSD_CH_SLFVL2 9.205254 46.674406 2064 15
HSD_CH_SLFWFJ 9.8167 46.8333 2540 73
HSD_CH_SLFYBR 8.8333 47.0333 1701 95
HSD_CH_SLFZE2 7.727385 46.042165 2752 5
HSD_CH_SLFZN2 10.0167 46.7 2680 52
HSD_CH_ULR 8.3 46.5 1345 3
HSD_CH_ULR_MAN 8.3 46.5 1345 3
HSD_CH_WFJ_MAN 9.8 46.8333 2691 67
HSD_FR_METEOFRANCE_Abries_rm 6.941 44.7895 2020 5
HSD_FR_METEOFRANCE_Aigleton_nivose 6.038167 45.231 2240 1026
HSD_FR_METEOFRANCE_Aiguilles_rouges_nivose 6.896833 45.986333 2365 15
HSD_FR_METEOFRANCE_Aiguines 6.24033333333333 43.7716666666667 800 13
HSD_FR_METEOFRANCE_Albiez 6.338 45.2093333333333 1540 14
HSD_FR_METEOFRANCE_Allant_nivose 6.211833 45.663833 1684 548
HSD_FR_METEOFRANCE_Allemond 6.0375 45.202 1270 17
HSD_FR_METEOFRANCE_Allos 6.632637 44.225815 1370 1
HSD_FR_METEOFRANCE_Alpe_d_huez 6.085787 45.087868 1860 72
HSD_FR_METEOFRANCE_Ancelle 6.209789 44.624474 1354 7
HSD_FR_METEOFRANCE_Areches 6.53766666666667 45.6695 1209 5
HSD_FR_METEOFRANCE_Auris 6.06666666666667 45.0256666666667 730 1
HSD_FR_METEOFRANCE_Auris_en_oisans 6.0725 45.0543333333333 1600 55
HSD_FR_METEOFRANCE_Auron 6.90816666666667 44.2091666666667 1910 49
HSD_FR_METEOFRANCE_Aussois 6.72633333333333 45.242 2166 47
HSD_FR_METEOFRANCE_Autrans_nivo 5.57533333333333 45.223 1260 333
HSD_FR_METEOFRANCE_Avoriaz 6.7745 46.185 1768 120
HSD_FR_METEOFRANCE_Bellecote_nivose 6.771167 45.489 2992 65
HSD_FR_METEOFRANCE_Bernex 6.70483333333333 46.338 1535 551
HSD_FR_METEOFRANCE_Boege 6.39033333333333 46.208 750 3
HSD_FR_METEOFRANCE_Bonneval_nivose 7.05066666666667 45.351 2740 18
HSD_FR_METEOFRANCE_Bonneval_sur_arc 7.05433333333333 45.3708333333333 1830 1
HSD_FR_METEOFRANCE_Bourg_d_oisans 6.17466666666667 45.0246666666667 730 17
HSD_FR_METEOFRANCE_Carpentras 5.053 44.0835 99 18
HSD_FR_METEOFRANCE_Cervieres 6.72016666666667 44.8596666666667 1637 6
HSD_FR_METEOFRANCE_Chambery_aix 5.8735 45.6381666666667 235 2
HSD_FR_METEOFRANCE_Chamrousse_arselle 5.87233333333333 45.0925 1650 107
HSD_FR_METEOFRANCE_Chamrousse_niverolles 5.89066666666667 45.119 2022 457
HSD_FR_METEOFRANCE_Chatel_nivo_74063405 6.79166666666667 46.2218333333333 1700 2
HSD_FR_METEOFRANCE_Clusaz_la_ 6.423 45.8856666666667 1180 3
HSD_FR_METEOFRANCE_Col_agnel_nivose 6.976239 44.68873 2630 96
HSD_FR_METEOFRANCE_Col_de_l_arzelier 5.58983333333333 44.9871666666667 1156 14
HSD_FR_METEOFRANCE_Col_de_porte 5.765568 45.29503 1325 439
HSD_FR_METEOFRANCE_Col_des_saisies_73132003 6.5345 45.7531666666667 1614 53
HSD_FR_METEOFRANCE_Col_du_barioz 6.04166666666667 45.3215 1424 55
HSD_FR_METEOFRANCE_Col_du_rousset 5.404 44.8365 1260 19
HSD_FR_METEOFRANCE_Combloux 6.626764 45.892901 1183 37
HSD_FR_METEOFRANCE_Courchevel 6.626 45.408 1780 10
HSD_FR_METEOFRANCE_Eau_d_olle 6.06866666666667 45.1186666666667 1920 181
