Latitude,Longitude,ID,Altitude,Nom,
44.289833,6.561667,7940,1900,LA FOUX D ALLOS_NIVO,
44.087,6.941333,7941,1630,VALBERG_NIVO,
44.215333,6.9135,7942,1910,AURON_NIVO,
42.9785,-0.748167,7943,1650,ARETTE LA-PIERRE-SAINT-MARTIN,
42.9015,-0.388167,7949,1860,Artouste,
42.950333,-0.331667,7950,1590,Gourette,
42.879667,-0.158167,7952,1920,CAUTERETS_LYS,
42.881,-0.063833,7953,1800,Luz Ardiden,
42.828333,0.55,7954,1107,St Paul d Oueil,
42.729167,-0.031167,7955,1840,GAVARNIE_ESPECIERES,
42.9055,0.130833,7957,1740,Bareges,
42.971667,-0.006833,7958,1529,HAUTACAM,
42.782167,0.16,7959,1860,Piau,
42.9435,0.456167,7960,1590,Nistos,
42.8165,0.254667,7964,2085,ST LARY LITA,
42.791167,0.388,7965,1460,Val Louron,
42.835333,0.934667,7966,1000,SENTEIN EYLIE HAUT,
42.786833,0.477667,7968,1569,Les Agudes,
42.7705,0.576333,7969,1763,Superbagneres,
42.724,1.690667,7970,1789,Beille,
42.778833,1.300833,7971,1384,Guzet,
42.674167,1.791333,7972,1997,AX SAQUET,
42.843833,1.744167,7973,1472,Mont d Olmes,
42.730333,1.954,7974,1500,Ascou Pailheres,
42.7265,2.017,7976,1530,Mijanes,
42.551667,1.789,7977,2087,PORTE-PUYMORENS,
42.390333,2.074167,7979,2250,Puigmal,
42.535167,2.021,7980,2144,FONT-ROMEU-GALINERA,
42.571667,2.051667,7981,2108,Les Angles,
42.623667,2.068333,7982,1753,FORMIGUERE,
42.4625,2.117,7984,2350,ST PIERRE DELS FORCATS,
42.286833,8.891667,7985,1420,Vergio,
41.999333,9.123167,7986,1623,Bastelica,
42.402667,8.922667,7987,1434,ASCO-STAGNU,
42.077,9.147167,7989,1670,GHISONI-CAPAGHJOLU,
42.534667,2.143,7990,1868,CAPCIR NORDIQUE,
