HSD_TAA_TN_PEIO_CROZZI_TAVIELA	10.631957	46.38418	2960
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200	6.98204	45.817	2110
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220	7.06523	45.8843	2040
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500	6.95213	45.7547	2177
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710	7.60298	45.9295	2566
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730	7.71959	45.8742	2045
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530	7.19172	45.7636	2370
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560	7.90497	45.741	2270
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050	7.60947	45.6247	1640
HSD_IT_PIE_AL_BRIC_CASTELLARO	8.79028	44.64278	415
HSD_IT_PIE_BI_PIEDICAVALLO	7.95639	45.68944	1040
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m	7.59	44.16083	1875
HSD_IT_PIE_SV_SETTEPANI	8.19472	44.23611	1375
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE	6.70472	45.06333	1585
HSD_IT_PIE_TO_CHATEAU_BEAULARD	6.75557	45.0281	1789
HSD_IT_PIE_TO_LAGO_DI_VALSOERA	7.39278	45.48528	2365
HSD_IT_PIE_TO_MALCIAUSSIA	7.14833	45.20778	1800
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE	6.94139	45.00889	1525
HSD_IT_PIE_TO_PRERICHARD	6.71639	45.075	1290
HSD_IT_PIE_TO_ROSONE	7.41833	45.43361	701
HSD_IT_PIE_TO_SAUZE_CESANA	6.91889	44.89444	1840
HSD_IT_PIE_TO_SOMMEILLER	6.84278	45.13167	2981
HSD_IT_PIE_TO_VAL_CLAREA	6.9634	45.14074	1068
HSD_IT_PIE_VB_ALPE_VEGLIA	8.14139	46.275	1740
HSD_IT_FVG_Aupa	13.299883	46.50518	900
HSD_IT_FVG_Casetta_in_Canada	12.9553	46.5919	1000
HSD_IT_FVG_Florianca	13.562777	46.50611	1658
HSD_IT_FVG_Forni_di_Sopra	12.5758	46.4236	910
HSD_IT_FVG_Fusine_Val_Romana	13.6739	46.4892	850
HSD_IT_FVG_Monte_Zoncolan	12.9317	46.5072	1750
HSD_IT_FVG_Paluzza	13.011421	46.52504	610
HSD_IT_FVG_Passo_Pramollo	13.2781	46.5569	1500
HSD_IT_FVG_Pradibosco	12.688888	46.50944	1230
HSD_IT_FVG_Ravascletto	12.9208	46.5208	880
HSD_IT_FVG_Rifugio_Arneri	12.4967	46.10934	1610
HSD_IT_FVG_Rifugio_Zacchi	13.684293	46.45924	1380
HSD_IT_FVG_Sauris_di_Sopra_2	12.681944	46.46722	1420
HSD_IT_FVG_Sella_Nevea	13.4722	46.3861	1200
HSD_IT_FVG_Val_Saisera	13.482222	46.46	1000
HSD_IT_FVG_Varmost	12.561388	46.45	1440
HSD_IT_BZ_Bronzolo_Osservatore	11.318249	46.40558	250
HSD_IT_BZ_Favogna_di_sotto_Osservatore	11.179263	46.27162	1060
HSD_IT_BZ_Fontana_Bianca	10.831811	46.48685	1900
HSD_IT_BZ_Luson_Osservatore	11.763891	46.74503	981
HSD_IT_BZ_Meltina_Osservatore	11.251688	46.58577	1133
HSD_IT_BZ_Ortisei_Osservatore	11.672964	46.57404	1180
HSD_IT_BZ_Roia_di_Fuori_Osservatore	10.484113	46.80959	1833
HSD_IT_BZ_S_Leonardo_in_Passiria_Osservatore	11.247126	46.80906	644
HSD_IT_BZ_S_Vito_di_Braies_Osservatore	12.10002	46.71188	1285
HSD_IT_BZ_San_Candido_Osservatore	12.279865	46.73299	1236
HSD_IT_BZ_San_Martino_Osservatore	11.414501	46.70105	1365
HSD_IT_BZ_Scena_Osservatore	11.190831	46.6896	680
HSD_IT_BZ_Sesto_Osservatore	12.349964	46.70305	1310
HSD_LOM_BG_CASTIONE_DELLA_PRESOLANA_09035	10.063329	45.92846	1180
HSD_LOM_BG_VALBONDIONE_09040	10.038607	46.06457	1784
HSD_LOM_BS_MONNO_09043	10.308807	46.2503	1728
HSD_LOM_SO_SAN_GIACOMO_FILIPPO_LAGO_TRUZZO_09041	9.319991	46.36054	2064
