HSD_TAA_TN_VAL_NOANA_DIGA	11.839286	46.13872	1030
HSD_TAA_TN_CIMA_CAVAION	10.715028	46.42302	2895
HSD_TAA_TN_PASSO_MENDOLA	11.189336	46.41918	1315
HSD_TAA_TN_PASSO_COSTALUNGA	11.613615	46.40453	1750
HSD_TAA_TN_PASSO_ROLLE	11.787124	46.29792	2012
HSD_TAA_TN_PASSO_VALLES	11.799791	46.33839	2032
HSD_TAA_TN_ROVERETO	11.043987	45.89632	203
HSD_TAA_TN_PRADALAGO_RIFUGIO_VIVIANI	10.813895	46.2497	2084
HSD_TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER	10.889755	46.21772	2258
HSD_TAA_TN_PINZOLO	10.757484	46.15651	760
HSD_TAA_TN_TREMALZO	10.684142	45.84166	1560
HSD_TAA_TN_PASSO_BROCON	11.663267	46.11668	1610
HSD_TAA_TN_MALE_BIVACCO_MARINELLI	10.860666	46.35628	2100
HSD_TAA_TN_PASSO_TONALE	10.596825	46.26256	1875
HSD_TAA_TN_VERMIGLIO_CAPANNA_PRESENA	10.578715	46.22882	2715
HSD_TAA_TN_MONTE_BONDONE_VIOTE	11.054869	46.01365	1490
HSD_TAA_TN_PASSO_SOMMO	11.206083	45.91865	1360
HSD_TAA_TN_DAONE_MALGA_BISSINA	10.514122	46.0529	1785
HSD_TAA_TN_ROVERETO_MALGA_ZUGNA	11.058163	45.80756	1620
HSD_TAA_TN_DOS_DEL_SABION_MONTE_GRUAL	10.811813	46.17225	1894
HSD_TAA_TN_PASSO_MANGHEN	11.439944	46.17492	2035
HSD_TAA_TN_CANAZEI_CIAMPAC	11.769081	46.44599	2150
HSD_TAA_TN_MARMOLADA_SAS_DEL_MUL	11.880813	46.44361	2606
HSD_TAA_TN_PAGANELLA_MALGA_TERLAGO	11.021504	46.14301	1790
HSD_TAA_TN_GRIGNO_BARRICATA	11.590219	45.97991	1345
HSD_TAA_TN_VAL_DAMBIEZ	10.881405	46.13343	1888
HSD_TAA_TN_RUMO_LANZA	11.008531	46.45391	1100
HSD_TAA_TN_TONADICO_CASTELPIETRA	11.865668	46.19893	1045
HSD_TAA_TN_CAORIA	11.683911	46.19202	803
HSD_TAA_TN_PASSO_PIAN_DELLE_FUGAZZE	11.174829	45.759	1170
HSD_TAA_TN_LAGO_DI_CALAITA	11.793483	46.20062	1605
HSD_TAA_TN_VAL_GENOVA_MALGA_CARET	10.634818	46.18142	1418
HSD_TAA_TN_PINZOLO_MALGA_ZELEDRIA	10.834362	46.24488	1775
HSD_TAA_TN_SAN_MARTINO_DI_CASTROZZA	11.796306	46.26162	1470
HSD_IT_VDA_AO_BIONAZ-PLACE_MOULIN_1040	7.49137	45.8997	1979
HSD_IT_VDA_AO_CHAMOIS-LAC_DE_LOU_1080	7.62275	45.8446	2020
HSD_IT_VDA_AO_CHAMPORCHER-RIFUGIO_DONDENA_1120	7.55184	45.6123	2181
HSD_IT_VDA_AO_COGNE-LILLAZ_1140	7.39184	45.5951	1613
HSD_IT_VDA_AO_COGNE-GRAND_CROT_1160	7.36744	45.588	2279
HSD_IT_VDA_AO_COURMAYEUR-FERRACHET_1170	7.02754	45.8668	2290
HSD_IT_VDA_AO_FENIS-LAVODILEC_1240	7.48514	45.6448	2250
HSD_IT_VDA_AO_GRESSAN-PILA_LEISSE_1250	7.30885	45.6643	2280
HSD_IT_VDA_AO_GRESSONEY-LA_TRINITE_ESELBODE_1270	7.82587	45.8306	1642
HSD_IT_VDA_AO_GRESSONEY-SAINT_JEAN_WEISSMATTEN_1300	7.82505	45.7484	2038
HSD_IT_VDA_AO_LA_THUILE-LA_GRANDE_TETE_1340	6.91591	45.6837	2430
HSD_IT_VDA_AO_LA_THUILE-VILLARET_1360	6.95609	45.7095	1488
HSD_IT_VDA_AO_MORGEX-LAVANCHER_1390	7.02014	45.7952	2842
HSD_IT_VDA_AO_OLLOMONT-BY_1440	7.30066	45.8814	2017
