name year mark los_MOD los_STA ele
IT_BZ_Vanga_Osservatore 2006 OK 20 102 920
IT_BZ_Vanga_Osservatore 2009 OK 47 108 920
IT_BZ_Vipiteno_osservatore 2002 OK 1 68 948
IT_BZ_Vipiteno_osservatore 2003 OK 16 68 948
IT_BZ_Vipiteno_osservatore 2005 OK 31 107 948
IT_BZ_Vipiteno_osservatore 2007 OK 13 81 948
IT_BZ_Vipiteno_osservatore 2008 OK 18 68 948
IT_FVG_Casetta_in_Canada 2008 NO 1 94 1000
IT_FVG_Casetta_in_Canada 2010 NO 45 106 1000
IT_FVG_Casetta_in_Canada 2011 NO 7 101 1000
IT_FVG_Casetta_in_Canada 2012 NO 6 73 1000
IT_FVG_Casetta_in_Canada 2013 NO 39 133 1000
IT_FVG_Casetta_in_Canada 2014 NO 54 133 1000
IT_FVG_Casetta_in_Canada 2015 NO 13 73 1000
IT_FVG_Casetta_in_Canada 2018 NO 36 139 1000
IT_FVG_Casetta_in_Canada 2019 NO 27 83 1000
IT_FVG_Cave_del_Predil 2002 OK 35 88 910
IT_FVG_Claut 2012 OK 15 60 610
IT_FVG_Collina 2002 OK 20 97 1250
IT_FVG_Collina 2003 OK 27 89 1250
IT_FVG_Collina 2004 OK 69 157 1250
IT_FVG_Collina 2005 OK 50 150 1250
IT_FVG_Collina 2008 OK 50 159 1250
IT_FVG_Collina 2011 OK 73 150 1250
IT_FVG_Collina 2012 OK 22 82 1250
IT_FVG_Collina 2013 OK 65 140 1250
IT_FVG_Collina 2015 OK 22 81 1250
IT_FVG_Florianca 2001 NO 55 165 1658
IT_FVG_Florianca 2002 NO 40 157 1658
IT_FVG_Florianca 2003 NO 52 157 1658
IT_FVG_Lussari 2017 OK 68 138 1770
IT_FVG_Monte_Zoncolan 2002 MOD 78 178 1750
IT_FVG_Piancavallo 2001 OK 44 111 1280
IT_FVG_Piancavallo 2002 OK 51 148 1280
IT_FVG_Piancavallo 2012 OK 29 106 1280
IT_FVG_Pradibosco 2002 NO 31 66 1230
IT_FVG_Pradibosco 2005 NO 70 145 1230
IT_FVG_Pradibosco 2007 NO 48 98 1230
IT_FVG_Pradibosco 2008 NO 41 94 1230
IT_FVG_Pradibosco 2015 NO 53 110 1230
IT_FVG_Prescudin 2002 OK 13 77 640
IT_FVG_Prescudin 2003 OK 20 65 640
IT_FVG_Prescudin 2005 OK 14 99 640
IT_FVG_Sauris_di_Sopra 2012 OK 58 131 1425
IT_FVG_Sella_Lius 2001 OK 15 55 1010
IT_FVG_Sella_Lius 2003 OK 24 88 1010
IT_FVG_Sella_Lius 2004 OK 60 142 1010
IT_FVG_Sella_Lius 2005 OK 29 134 1010
IT_FVG_Sella_Lius 2006 OK 71 149 1010
IT_FVG_Sella_Lius 2007 OK 8 62 1010
IT_FVG_Sella_Lius 2008 OK 20 117 1010
IT_FVG_Sella_Lius 2010 OK 47 115 1010
IT_FVG_Sella_Lius 2011 OK 26 85 1010
IT_FVG_Sella_Lius 2012 OK 2 77 1010
IT_FVG_Sella_Lius 2013 OK 20 135 1010
IT_FVG_Sella_Lius 2014 OK 42 119 1010
IT_FVG_Sella_Lius 2015 OK 5 67 1010
IT_FVG_Sella_Lius 2016 OK 28 84 1010
IT_FVG_Sella_Lius 2017 OK 1 55 1010
IT_FVG_Sella_Lius 2018 OK 28 147 1010
IT_FVG_Sella_Lius 2019 OK 13 82 1010
IT_FVG_Tarvisio 2008 OK 46 95 777
IT_FVG_Tarvisio 2014 OK 62 144 777
IT_FVG_Tarvisio 2015 OK 45 93 777
IT_FVG_Val_Saisera 2002 NO 26 152 1000
IT_FVG_Varmost 2008 NO 47 142 1440
IT_FVG_Varmost 2012 NO 25 138 1440
IT_FVG_Varmost 2015 NO 65 139 1440
IT_FVG_Varmost 2017 NO 23 79 1440
IT_FVG_Varmost 2019 NO 39 146 1440
IT_LOMBARDIA_Aprica_Magnolta 2002 OK 90 187 1870
IT_LOMBARDIA_Campo_Moro 2002 OK 40 115 1970
IT_LOMBARDIA_Campo_Moro 2007 OK 53 135 1970
IT_LOMBARDIA_Madesimo 2002 OK 45 148 1530
IT_LOMBARDIA_Madesimo 2007 OK 63 139 1530
IT_LOMBARDIA_Ponte_di_Legno 2002 OK 28 66 1600
IT_LOMBARDIA_Ponte_di_Legno 2005 OK 58 137 1600
IT_TN_Andalo 2002 OK 27 61 1047
IT_TN_Andalo 2003 OK 40 86 1047
IT_TN_Andalo 2007 OK 18 71 1047
IT_TN_Andalo 2019 OK 23 60 1047
IT_TN_Bondone_viote 2002 OK 49 103 1495
IT_TN_Bondone_viote 2003 OK 71 153 1495
IT_TN_Bondone_viote 2007 OK 65 140 1495
IT_TN_Bondone_viote 2019 OK 60 147 1495
IT_TN_Buffaure 2017 OK 52 120 2060
IT_TN_Caoria 2001 OK 30 108 915
IT_TN_Caoria 2002 OK 14 89 915
IT_TN_Caoria 2003 OK 23 74 915
IT_TN_Caoria 2004 OK 64 131 915
IT_TN_Caoria 2005 OK 38 117 915
IT_TN_Caoria 2007 OK 10 76 915
IT_TN_Caoria 2008 OK 15 85 915
IT_TN_Dossioli_pra_alpesina 2007 OK 45 115 1430
IT_TN_Folgaria_passo_sommo 2001 OK 76 157 1360
IT_TN_Folgaria_passo_sommo 2002 OK 47 119 1360
IT_TN_Folgaria_passo_sommo 2003 OK 70 142 1360
IT_TN_Folgaria_passo_sommo 2007 OK 40 122 1360
IT_TN_Folgaria_passo_sommo 2008 OK 74 162 1360
IT_TN_Folgaria_passo_sommo 2012 OK 37 114 1360
IT_TN_Folgaria_passo_sommo 2017 OK 35 80 1360
IT_TN_Folgaria_passo_sommo 2019 OK 36 123 1360
IT_TN_Folgarida_malghet_aut 2017 OK 78 157 1890
IT_TN_Lago_di_calaita 2016 OK 57 123 1588
IT_TN_Lago_di_calaita 2019 OK 70 165 1588
IT_TN_Malga_baessa 2001 OK 20 127 1320
IT_TN_Malga_baessa 2002 OK 12 81 1320
IT_TN_Malga_baessa 2003 OK 27 109 1320
IT_TN_Malga_baessa 2004 OK 68 152 1320
IT_TN_Malga_baessa 2005 OK 25 122 1320
IT_TN_Malga_baessa 2007 OK 39 117 1320
IT_TN_Malga_baessa 2008 OK 30 125 1320
IT_TN_Malga_baessa 2011 OK 55 127 1320
IT_TN_Malga_baessa 2012 OK 23 88 1320
IT_TN_Malga_val_cigolera 2017 OK 68 151 1880
IT_TN_Masi_lozen 2002 OK 20 97 1150
IT_TN_Masi_lozen 2003 OK 34 85 1150
IT_TN_Masi_lozen 2005 OK 51 124 1150
IT_TN_Monte_bondone_vason_palon 2008 OK 81 170 1670
IT_TN_Pampeago 2017 OK 33 86 1760
IT_TN_Pampeago_tresca 2017 OK 86 191 2080
IT_TN_Panarotta 2002 OK 86 178 1775
IT_TN_Panarotta 2008 OK 82 183 1775
IT_TN_Paneveggio 2008 OK 47 110 1535
IT_TN_Paneveggio 2017 OK 29 77 1535
IT_TN_Paneveggio 2019 OK 35 125 1535
IT_TN_Passo_brocon_malga_marande 2002 OK 39 91 1608
IT_TN_Passo_san_valentino 2002 OK 31 103 1320
IT_TN_Passo_san_valentino 2007 OK 38 128 1320
IT_TN_Passo_san_valentino 2008 OK 70 142 1320
IT_TN_Passo_san_valentino 2012 OK 51 119 1320
IT_TN_Passo_tonale_scuola_pat 2002 OK 89 191 1880
IT_TN_Passo_valles 2017 OK 77 192 2045
IT_TN_Pejo_tarlenta 2002 OK 42 182 1985
IT_TN_Pejo_tarlenta 2003 OK 85 171 1985
IT_TN_Pejo_tarlenta 2005 OK 44 177 1985
IT_TN_Pejo_tarlenta 2007 OK 39 152 1985
IT_TN_Pejo_tarlenta 2008 OK 86 186 1985
IT_TN_Pejo_tarlenta 2015 OK 74 170 1985
IT_TN_Pejo_tarlenta 2016 OK 59 119 1985
