names	lon	lat	start	end
HSD_IT_PIE_BI_CAMPARIENT	8.085	45.73222	1999	2023
HSD_IT_PIE_BI_GRAGLIA	7.95	45.56917	2009	2023
HSD_IT_PIE_CN_ACCEGLIO	6.98139	44.48528	1991	2023
HSD_IT_PIE_CN_ACCEGLIO_COLLET	6.90766	44.52081	2004	2023
HSD_IT_PIE_CN_ARGENTERA	6.93944	44.39528	1996	2023
HSD_IT_PIE_CN_BOVES	7.56194	44.335	2022	2023
HSD_IT_PIE_CN_BRA	7.85167	44.70111	1995	2023
HSD_IT_PIE_CN_CASTELMAGNO	7.16806	44.4	1996	2023
HSD_IT_PIE_CN_COLLE_DELL_AGNELLO	6.97861	44.68083	2004	2023
HSD_IT_PIE_CN_COLLE_LOMBARDA	7.14778	44.20778	1990	2023
HSD_IT_PIE_CN_CUNEO_CASCINA_VECCHIA	7.52722	44.37	2002	2023
HSD_IT_PIE_CN_DIGA_DEL_CHIOTAS	7.33417	44.16111	2001	2023
HSD_IT_PIE_CN_ELVA	7.08917	44.54611	2001	2023
HSD_IT_PIE_CN_FEISOGLIO	8.11222	44.54583	1995	2023
HSD_IT_PIE_CN_GARDETTA	7.01194	44.40917	2001	2023
HSD_IT_PIE_CN_LIMONE_PANCANI_2008m	7.59528	44.1575	1990	2006
HSD_IT_PIE_CN_MONVISO_FINO_2010	7.08827	44.66025	2002	2010
HSD_IT_PIE_CN_ORMEA_STANTI	7.8544	44.1872	2020	2023
HSD_IT_PIE_CN_PAESANA	7.26276	44.66148	1993	2023
HSD_IT_PIE_CN_PALANFRE	7.48861	44.19333	2001	2023
HSD_IT_PIE_CN_PIAGGIA	7.73139	44.07167	1999	2023
HSD_IT_PIE_CN_PIAN_DELLE_BARACCHE	7.13333	44.54889	1990	2023
HSD_IT_PIE_CN_PIAN_GIASSET	7.12861	44.68944	2001	2023
HSD_IT_PIE_CN_PONTECHIANALE	7.0525	44.61194	1993	2023
HSD_IT_PIE_CN_PRIERO	8.10806	44.37722	1993	2023
HSD_IT_PIE_CN_RIFUGIO_MONDOVI	7.73222	44.19167	1997	2022
HSD_IT_PIE_CN_VALDIERI	7.26806	44.20472	1993	2023
HSD_IT_PIE_TO_BARCENISIO	6.985	45.19167	1994	2022
HSD_IT_PIE_TO_BARDONECCHIA_PRANUDIN	6.70803	45.10627	2005	2022
HSD_IT_PIE_TO_CALUSO	7.85028	45.28833	2009	2022
HSD_IT_PIE_TO_CAMINI_FREJUS	6.68861	45.11722	1990	2005
HSD_IT_PIE_TO_CERESOLE_VILLA	7.21083	45.44028	1999	2022
HSD_IT_PIE_TO_CLAVIERE	6.75556	44.93361	2001	2010
HSD_IT_PIE_TO_CLOT_DELLA_SOMA	6.94167	44.98278	1996	2022
HSD_IT_PIE_TO_COLLE_BARANT	7.06056	44.77444	1990	2022
HSD_IT_PIE_TO_COLLE_BERCIA	6.78306	44.92111	1996	2022
HSD_IT_PIE_TO_COLLERETTO	7.65944	45.44222	1999	2022
HSD_IT_PIE_TO_FORNO_ALPI_GRAIE	7.22417	45.36056	1997	2022
HSD_IT_PIE_TO_GRANGE_MARTINA	6.975	45.15778	2006	2022
HSD_IT_PIE_TO_LAGO_AGNEL	7.13917	45.46778	1996	2022
HSD_IT_PIE_TO_LAGO_DIETRO_LA_TORRE	7.16417	45.25917	2006	2022
HSD_IT_PIE_TO_LAGO_PILONE	6.87611	45.00222	1990	2022
HSD_IT_PIE_TO_LE_SELLE	6.91722	45.05444	1991	2022
HSD_IT_PIE_TO_PIAMPRATO	7.57306	45.55694	1993	2022
HSD_IT_PIE_TO_PRAGELATO	6.92306	44.99139	2002	2010
HSD_IT_PIE_TO_PRALY	7.0575	44.90472	1993	2022
HSD_IT_PIE_TO_RIFUGIO_GASTALDI	7.14333	45.29806	1990	2022
HSD_IT_PIE_TO_RIFUGIO_VACCARONE	6.91639	45.15417	1996	2022
HSD_IT_PIE_TO_SALBERTRAND	6.89389	45.07111	1990	2022
HSD_IT_PIE_TO_SAN_SICARIO	6.83611	44.9675	2001	2022
HSD_IT_PIE_TO_SESTRIERE	6.87472	44.95111	1996	2022
HSD_IT_PIE_TO_SESTRIERE_BANCHETTA	6.91111	44.95444	2003	2022
HSD_IT_PIE_TO_TORINO_BUON_PASTORE	7.6725	45.07944	1990	2004
HSD_IT_PIE_TO_TORINO_GIARDINI_REALI	7.69194	45.07167	2004	2022
HSD_IT_PIE_VB_ALPE_CHEGGIO	8.11556	46.085	1996	2022
HSD_IT_PIE_VB_ALPE_DEVERO	8.26	46.31611	1991	2022
HSD_IT_PIE_VB_FORMAZZA	8.35833	46.43333	1990	2022
HSD_IT_PIE_VB_FORMAZZA_BRUGGI	8.42889	46.34778	1999	2022
HSD_IT_PIE_VB_LARECCHIO	8.43139	46.20472	1999	2022
HSD_IT_PIE_VB_MACUGNAGA_PECETTO	7.95778	45.97222	1999	2022
HSD_IT_PIE_VB_MACUGNAGA_RIFUGIO_ZAMBONI	7.91694	45.95139	2007	2022
HSD_IT_PIE_VB_PASSO_DEL_MORO	7.97639	45.99694	1990	2022
HSD_IT_PIE_VC_ALAGNA	7.93611	45.87444	2001	2022
HSD_IT_PIE_VC_ALBANO_VERCELLESE	8.38833	45.43806	1997	2022
HSD_IT_PIE_VC_BOCCHETTA_DELLE_PISSE	7.90111	45.87556	1990	2022
HSD_IT_FVG_Cave_del_Predil	13.5714	46.4403	1985	2018
HSD_IT_FVG_Claut	12.5142	46.2661	1973	2020
HSD_IT_FVG_Collina	12.8508	46.5886	1973	2017
HSD_IT_FVG_Gilberti	13.462498	46.37167	1972	2020
HSD_IT_FVG_Lussari	13.52	46.48194	1973	2020
HSD_IT_FVG_Passo_del_Predil	13.578135	46.41851	2018	2020
HSD_IT_FVG_Paularo	13.113888	46.53111	1973	1976
HSD_IT_FVG_Piancavallo	12.5161	46.1069	1973	2020
HSD_IT_FVG_Pontebba	13.300555	46.49722	1977	1983
HSD_IT_FVG_Prescudin	12.488888	46.19222	1972	2007
HSD_IT_FVG_Rutte_Piccolo	13.5992	46.4956	2005	2020
HSD_IT_FVG_Sauris_di_Sopra	12.679722	46.46833	1989	2018
HSD_IT_FVG_Sella_Lius	13.0853	46.5375	1994	2020
HSD_IT_FVG_Tarvisio	13.562777	46.50611	1972	2020
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore	10.696073	46.65021	1996	2016
HSD_IT_BZ_Anterivo_Osservatore	11.367751	46.27735	1983	2018
HSD_IT_BZ_Anterselva_di_Mezzo_Osservatore	12.100897	46.86072	1984	2019
HSD_IT_BZ_Braies_Ferrara_Osservatore	12.128787	46.71924	1994	2017
HSD_IT_BZ_Casere_di_Fuori_Osservatore	10.926697	46.7351	1983	2018
