station year duration start
HSD_TAA_TN_PINZOLO 2016 16 161
HSD_TAA_TN_TREMALZO 2013 158 88
HSD_TAA_TN_TREMALZO 2014 57 150
HSD_TAA_TN_TREMALZO 2015 81 139
HSD_TAA_TN_TREMALZO 2016 69 155
HSD_TAA_TN_TREMALZO 2017 57 148
HSD_TAA_TN_TREMALZO 2018 92 135
HSD_TAA_TN_TREMALZO 2019 54 138
HSD_TAA_TN_TREMALZO 2020 78 67
HSD_TAA_TN_TREMALZO 2021 97 93
HSD_TAA_TN_TREMALZO 2022 41 88
HSD_TAA_TN_TREMALZO 2023 115 83
HSD_TAA_TN_TREMALZO 2024 106 113
HSD_TAA_TN_PASSO_BROCON 2014 150 106
HSD_TAA_TN_PASSO_BROCON 2015 72 139
HSD_TAA_TN_PASSO_BROCON 2016 57 162
HSD_TAA_TN_PASSO_BROCON 2017 15 157
HSD_TAA_TN_PASSO_BROCON 2018 137 91
HSD_TAA_TN_PASSO_BROCON 2019 46 138
HSD_TAA_TN_PASSO_BROCON 2020 58 68
HSD_TAA_TN_PASSO_BROCON 2021 105 98
HSD_TAA_TN_PASSO_BROCON 2022 27 87
HSD_TAA_TN_PASSO_BROCON 2023 95 83
HSD_TAA_TN_PASSO_BROCON 2024 28 123
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2014 193 76
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2015 94 136
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2016 110 124
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2017 47 164
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2018 145 105
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2019 41 84
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2020 172 61
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2021 185 93
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2022 53 64
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2023 121 83
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2024 191 89
HSD_TAA_TN_PASSO_TONALE 2012 135 64
HSD_TAA_TN_PASSO_TONALE 2013 184 58
HSD_TAA_TN_PASSO_TONALE 2014 174 76
HSD_TAA_TN_PASSO_TONALE 2015 165 64
HSD_TAA_TN_PASSO_TONALE 2016 98 124
HSD_TAA_TN_PASSO_TONALE 2017 48 156
HSD_TAA_TN_PASSO_TONALE 2018 172 67
HSD_TAA_TN_PASSO_TONALE 2019 73 133
HSD_TAA_TN_PASSO_TONALE 2020 171 61
HSD_TAA_TN_PASSO_TONALE 2021 163 81
HSD_TAA_TN_PASSO_TONALE 2022 130 61
HSD_TAA_TN_PASSO_TONALE 2023 115 83
HSD_TAA_TN_PASSO_TONALE 2024 181 62
HSD_TAA_TN_VERMIGLIO_CAPANNA_PRESENA 2014 284 38
HSD_TAA_TN_VERMIGLIO_CAPANNA_PRESENA 2015 205 99
HSD_TAA_TN_VERMIGLIO_CAPANNA_PRESENA 2016 285 23
HSD_TAA_TN_VERMIGLIO_CAPANNA_PRESENA 2017 245 40
HSD_TAA_TN_VERMIGLIO_CAPANNA_PRESENA 2018 223 66
HSD_TAA_TN_VERMIGLIO_CAPANNA_PRESENA 2019 247 65
HSD_TAA_TN_VERMIGLIO_CAPANNA_PRESENA 2020 244 59
HSD_TAA_TN_VERMIGLIO_CAPANNA_PRESENA 2021 284 25
HSD_TAA_TN_VERMIGLIO_CAPANNA_PRESENA 2022 204 61
HSD_TAA_TN_VERMIGLIO_CAPANNA_PRESENA 2023 199 95
HSD_TAA_TN_VERMIGLIO_CAPANNA_PRESENA 2024 257 58
HSD_TAA_TN_MONTE_BONDONE_VIOTE 2013 105 128
HSD_TAA_TN_MONTE_BONDONE_VIOTE 2014 119 106
HSD_TAA_TN_MONTE_BONDONE_VIOTE 2015 73 138
HSD_TAA_TN_MONTE_BONDONE_VIOTE 2016 61 154
HSD_TAA_TN_MONTE_BONDONE_VIOTE 2017 46 156
HSD_TAA_TN_MONTE_BONDONE_VIOTE 2018 138 91
HSD_TAA_TN_MONTE_BONDONE_VIOTE 2019 23 152
