station year duration start flag
HSD_IT_BZ_Anterselva_di_Mezzo_Osservatore 2012 83 98 OK
HSD_IT_BZ_Anterselva_di_Mezzo_Osservatore 2013 94 90 OK
HSD_IT_BZ_Anterselva_di_Mezzo_Osservatore 2014 83 113 OK
HSD_IT_BZ_Anterselva_di_Mezzo_Osservatore 2015 13 149 OK
HSD_IT_BZ_Anterselva_di_Mezzo_Osservatore 2016 57 143 OK
HSD_IT_BZ_Anterselva_di_Mezzo_Osservatore 2017 48 127 OK
HSD_IT_BZ_Anterselva_di_Mezzo_Osservatore 2018 119 86 OK
HSD_IT_BZ_Anterselva_di_Mezzo_Osservatore 2019 52 96 OK
HSD_IT_BZ_Braies_Ferrara_Osservatore 2001 95 104 OK
HSD_IT_BZ_Braies_Ferrara_Osservatore 2002 7 87 OK
HSD_IT_BZ_Braies_Ferrara_Osservatore 2003 74 116 OK
HSD_IT_BZ_Braies_Ferrara_Osservatore 2004 82 88 OK
HSD_IT_BZ_Braies_Ferrara_Osservatore 2005 81 118 OK
HSD_IT_BZ_Braies_Ferrara_Osservatore 2006 103 87 OK
HSD_IT_BZ_Braies_Ferrara_Osservatore 2007 38 145 OK
HSD_IT_BZ_Braies_Ferrara_Osservatore 2008 53 127 OK
HSD_IT_BZ_Braies_Ferrara_Osservatore 2009 92 107 OK
HSD_IT_BZ_Braies_Ferrara_Osservatore 2010 120 91 OK
HSD_IT_BZ_Braies_Ferrara_Osservatore 2011 98 76 OK
HSD_IT_BZ_Braies_Ferrara_Osservatore 2012 85 98 OK
HSD_IT_BZ_Braies_Ferrara_Osservatore 2013 93 134 OK
HSD_IT_BZ_Braies_Ferrara_Osservatore 2014 135 79 OK
HSD_IT_BZ_Braies_Ferrara_Osservatore 2015 46 138 OK
HSD_IT_BZ_Braies_Ferrara_Osservatore 2016 52 152 OK
HSD_IT_BZ_Braies_Ferrara_Osservatore 2017 52 135 OK
HSD_IT_BZ_Bronzolo_Osservatore 2001 4 124 REV
HSD_IT_BZ_Bronzolo_Osservatore 2002 0 NA REV
HSD_IT_BZ_Bronzolo_Osservatore 2003 10 144 REV
HSD_IT_BZ_Bronzolo_Osservatore 2004 24 121 REV
HSD_IT_BZ_Bronzolo_Osservatore 2005 18 119 REV
HSD_IT_BZ_Bronzolo_Osservatore 2006 26 92 REV
HSD_IT_BZ_Bronzolo_Osservatore 2007 0 NA REV
HSD_IT_BZ_Bronzolo_Osservatore 2008 1 36 REV
HSD_IT_BZ_Bronzolo_Osservatore 2009 43 93 REV
HSD_IT_BZ_Bronzolo_Osservatore 2010 39 114 REV
HSD_IT_BZ_Bronzolo_Osservatore 2011 8 93 REV
HSD_IT_BZ_Bronzolo_Osservatore 2012 0 NA REV
HSD_IT_BZ_Bronzolo_Osservatore 2013 10 107 REV
HSD_IT_BZ_Bronzolo_Osservatore 2014 7 113 REV
HSD_IT_BZ_Bronzolo_Osservatore 2015 2 152 REV
HSD_IT_BZ_Bronzolo_Osservatore 2016 3 124 REV
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2001 77 60 OK
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2002 21 168 OK
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2003 25 135 OK
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2004 75 86 OK
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2005 17 110 OK
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2006 36 90 OK
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2007 8 98 OK
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2008 18 138 OK
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2009 133 84 OK
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2010 115 91 OK
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2011 68 73 OK
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2012 73 100 OK
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2013 82 88 OK
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2014 84 113 OK
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2015 13 153 OK
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2016 34 163 OK
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2017 0 NA OK
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2018 116 101 OK
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2003 0 NA OK
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2004 4 128 OK
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2005 0 NA OK
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2006 15 91 OK
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2007 2 362 OK
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2008 2 311 OK
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2009 21 93 OK
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2010 4 159 OK
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2011 0 NA OK
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2012 3 103 OK
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2013 4 90 OK
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2014 6 136 OK
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2015 3 157 OK
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2016 0 NA OK
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2017 0 NA OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2001 97 61 OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2002 44 160 OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2003 90 111 OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2004 93 110 OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2005 27 161 OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2006 77 86 OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2007 28 136 OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2008 67 116 OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2009 97 129 OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2010 134 91 OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2011 115 99 OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2012 69 110 OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2013 139 89 OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2014 147 75 OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2015 65 135 OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2016 58 158 OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2017 19 149 OK
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 2018 132 101 OK
HSD_IT_BZ_Diga_di_Neves_Osservatore 2001 201 61 OK
HSD_IT_BZ_Diga_di_Neves_Osservatore 2002 34 86 OK
HSD_IT_BZ_Diga_di_Neves_Osservatore 2003 31 119 OK
HSD_IT_BZ_Diga_di_Neves_Osservatore 2004 132 105 OK
HSD_IT_BZ_Diga_di_Neves_Osservatore 2005 58 143 OK
HSD_IT_BZ_Diga_di_Neves_Osservatore 2006 85 145 OK
HSD_IT_BZ_Diga_di_Neves_Osservatore 2007 55 139 OK
HSD_IT_BZ_Diga_di_Neves_Osservatore 2008 158 96 OK
HSD_IT_BZ_Diga_di_Neves_Osservatore 2009 162 82 OK
HSD_IT_BZ_Diga_di_Neves_Osservatore 2010 97 135 OK
HSD_IT_BZ_Diga_di_Neves_Osservatore 2011 65 70 OK
HSD_IT_BZ_Diga_di_Neves_Osservatore 2012 98 94 OK
HSD_IT_BZ_Diga_di_Neves_Osservatore 2013 147 90 OK
HSD_IT_BZ_Diga_di_Neves_Osservatore 2014 117 111 OK
HSD_IT_BZ_Diga_di_Neves_Osservatore 2015 84 117 OK
HSD_IT_BZ_Diga_di_Neves_Osservatore 2016 108 125 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2001 54 114 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2002 3 70 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2003 36 120 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2004 34 129 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2005 23 138 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2006 108 88 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2007 24 147 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2008 46 124 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2009 97 88 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2010 63 91 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2011 34 86 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2012 85 98 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2013 52 137 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2014 42 146 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2015 9 152 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2016 45 153 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2017 13 151 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2018 63 131 OK
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2019 40 135 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2001 45 155 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2002 13 116 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2003 35 141 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2004 46 112 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2005 44 145 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2006 67 87 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2007 16 140 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2008 44 128 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2009 76 143 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2010 29 90 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2011 92 76 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2012 52 96 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2013 64 89 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2014 88 113 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2015 54 133 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2016 19 181 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2017 18 148 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2018 74 104 OK
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2019 42 102 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2001 58 118 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2002 18 169 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2003 28 133 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2004 67 101 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2005 63 118 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2006 65 142 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2007 18 97 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2008 52 125 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2009 118 83 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2010 77 109 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2011 19 108 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2012 14 150 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2013 24 172 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2014 83 115 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2015 31 137 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2016 40 162 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2017 9 158 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2018 64 102 OK
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2019 22 154 OK
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2005 4 92 NO
