HSD_TAA_TN_VAL_NOANA_DIGA 11.83929 46.13872 1030. 11.83840 46.13840 1046.
HSD_TAA_TN_CIMA_CAVAION 10.71503 46.42302 2895. 10.71549 46.42382 2867.
HSD_TAA_TN_PASSO_MENDOLA 11.18934 46.41918 1315. 11.18840 46.41965 1328.
HSD_TAA_TN_PASSO_COSTALUNGA 11.61361 46.40453 1750. 11.61340 46.40507 1769.
HSD_TAA_TN_PASSO_ROLLE 11.78712 46.29792 2012. 11.78632 46.29882 1996.
HSD_TAA_TN_PASSO_VALLES 11.79979 46.33839 2032. 11.79882 46.33840 2015.
HSD_TAA_TN_ROVERETO 11.04399 45.89632 203. 11.04465 45.89674 218.
HSD_TAA_TN_PRADALAGO_RIFUGIO_VIVIANI 10.81390 46.24970 2084. 10.81340 46.24882 2087.
HSD_TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER 10.88975 46.21772 2258. 10.89049 46.21757 2270.
HSD_TAA_TN_PINZOLO 10.75748 46.15651 760. 10.75715 46.15715 760.
HSD_TAA_TN_TREMALZO 10.68414 45.84166 1560. 10.68424 45.84257 1558.
HSD_TAA_TN_PASSO_BROCON 11.66327 46.11668 1610. 11.66340 46.11757 1635.
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 10.86067 46.35628 2100. 10.86132 46.35715 2106.
HSD_TAA_TN_PASSO_TONALE 10.59683 46.26256 1875. 10.59674 46.26340 1884.
HSD_TAA_TN_VERMIGLIO_CAPANNA_PRESENA 10.57871 46.22882 2715. 10.57799 46.22799 2729.
HSD_TAA_TN_MONTE_BONDONE_VIOTE 11.05487 46.01365 1490. 11.05507 46.01340 1493.
HSD_TAA_TN_PASSO_SOMMO 11.20608 45.91865 1360. 11.20507 45.91965 1365.
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 10.63196 46.38418 2960. 10.63215 46.38424 2925.
HSD_TAA_TN_DAONE_MALGA_BISSINA 10.51412 46.05290 1785. 10.51340 46.05299 1813.
HSD_TAA_TN_ROVERETO_MALGA_ZUGNA 11.05816 45.80756 1620. 11.05715 45.80715 1604.
HSD_TAA_TN_DOS_DEL_SABION_MONTE_GRUAL 10.81181 46.17225 1894. 10.81132 46.17173 1910.
HSD_TAA_TN_PASSO_MANGHEN 11.43994 46.17492 2035. 11.44049 46.17590 2018.
HSD_TAA_TN_CANAZEI_CIAMPAC 11.76908 46.44599 2150. 11.76965 46.44674 2134.
HSD_TAA_TN_MARMOLADA_SAS_DEL_MUL 11.88081 46.44361 2606. 11.88007 46.44465 2582.
HSD_TAA_TN_PAGANELLA_MALGA_TERLAGO 11.02150 46.14301 1790. 11.02174 46.14257 1799.
HSD_TAA_TN_GRIGNO_BARRICATA 11.59022 45.97991 1345. 11.59049 45.98007 1339.
HSD_TAA_TN_VAL_DAMBIEZ 10.88141 46.13343 1888. 10.88215 46.13424 1927.
HSD_TAA_TN_RUMO_LANZA 11.00853 46.45391 1100. 11.00924 46.45298 1088.
HSD_TAA_TN_TONADICO_CASTELPIETRA 11.86567 46.19893 1045. 11.86549 46.19882 1043.
HSD_TAA_TN_CAORIA 11.68391 46.19202 803. 11.68424 46.19257 818.
HSD_TAA_TN_PASSO_PIAN_DELLE_FUGAZZE 11.17483 45.75900 1170. 11.17382 45.75924 1180.
HSD_TAA_TN_LAGO_DI_CALAITA 11.79348 46.20062 1605. 11.79257 46.20090 1600.
HSD_TAA_TN_VAL_GENOVA_MALGA_CARET 10.63482 46.18142 1418. 10.63424 46.18215 1424.
HSD_TAA_TN_PINZOLO_MALGA_ZELEDRIA 10.83436 46.24488 1775. 10.83424 46.24465 1774.
HSD_TAA_TN_SAN_MARTINO_DI_CASTROZZA 11.79631 46.26162 1470. 11.79674 46.26132 1469.
