name	lon	lat	ele	ele_DEM
FR_METEOFRANCE_Clusaz_la_	6.423	45.88567	1180	1363
FR_METEOFRANCE_Col_du_rousset	5.404	44.8365	1260	1364
FR_METEOFRANCE_Courchevel	6.626	45.408	1780	1946
FR_METEOFRANCE_Eau_d_olle	6.068667	45.11867	1920	1728
FR_METEOFRANCE_Freissinieres	6.502	44.74233	1320	1562
FR_METEOFRANCE_Isola	7.142667	44.187	1912	2179
FR_METEOFRANCE_Isola_2000	7.142667	44.187	1912	2179
FR_METEOFRANCE_Jausiers	6.757	44.403	1510	1368
FR_METEOFRANCE_L_alpe_d_huez_2700	6.1	45.1	2700	2252
FR_METEOFRANCE_L_alpe_d_huez_sata_1860	6.05	45.07467	1850	1182
FR_METEOFRANCE_L_alpe_du_grand_serre	5.8575	45.01917	1382	1507
FR_METEOFRANCE_La_berarde	6.2885	44.92633	1738	2312
FR_METEOFRANCE_La_flegere	6.886833	45.9575	1850	1749
FR_METEOFRANCE_La_foux_d_allos	6.557	44.28717	1900	2003
FR_METEOFRANCE_La_plagne	6.669667	45.503	1970	2096
FR_METEOFRANCE_La_rosiere	6.842333	45.6245	1867	1655
FR_METEOFRANCE_La_salette_38469001	5.973667	44.856	1770	1565
FR_METEOFRANCE_La_salette_38469400	5.974667	44.85	1770	1351
FR_METEOFRANCE_Lauzet_le_	6.422667	44.43833	1070	914
FR_METEOFRANCE_Le_collet_d_allevard_38006400	6.121	45.387	1642	1476
FR_METEOFRANCE_Le_collet_d_allevard_38006402	6.1	45.37467	1650	898
FR_METEOFRANCE_Le_dramont	6.851667	43.40867	124	0
FR_METEOFRANCE_Le_gua_nivose	5.5865	45.009	1646	1543
FR_METEOFRANCE_Le_molard	7.009667	45.4385	2310	2521
FR_METEOFRANCE_Le_rivier_d_allemond	6.024667	45.11867	1270	715
FR_METEOFRANCE_Les_2_alpes_toura_ne_	6.169833	44.99133	2550	2673
FR_METEOFRANCE_Les_carroz_kedeusaz	6.659333	46.02333	1760	1625
FR_METEOFRANCE_Les_ecrins_nivose	6.341	44.9355	2970	2853
FR_METEOFRANCE_Les_gets	6.6555	46.1595	1530	1404
FR_METEOFRANCE_Les_karellis	6.402333	45.22333	1603	1737
FR_METEOFRANCE_Les_orres_fontaines	6.557667	44.47567	1895	2029
FR_METEOFRANCE_Les_portes_en_valgaudemar	6.1905	44.806	1270	1485
FR_METEOFRANCE_Meailles_sapc	6.624333	44.02533	1090	923
FR_METEOFRANCE_Modane	6.671167	45.1895	1228	1539
FR_METEOFRANCE_Montgenevre_le_chalvet	6.718333	44.93617	2134	1981
FR_METEOFRANCE_Morzine_74191001	6.705	46.17367	960	1074
FR_METEOFRANCE_Motte_molines	6.120333	44.74217	1250	1433
FR_METEOFRANCE_Peone	6.925167	44.09317	1784	1639
FR_METEOFRANCE_Prapoutel_38002404	5.974667	45.25	1840	1017
FR_METEOFRANCE_Prapoutel_38002405	5.974667	45.25	1570	1017
FR_METEOFRANCE_Prapoutel_pipay	5.974667	45.25	1345	1017
FR_METEOFRANCE_Puy_st_vincent	6.49	44.82383	1380	1528
FR_METEOFRANCE_Reallon_nivo	6.351667	44.575	1717	1839
FR_METEOFRANCE_Ristolas	6.984	44.75933	1670	1945
FR_METEOFRANCE_Seythenex	6.2725	45.70783	1159	1381
FR_METEOFRANCE_St_colomban_des_villards	6.225333	45.28917	1085	1215
FR_METEOFRANCE_St_dalmas_le_se	6.85	44.28333	1500	1959
FR_METEOFRANCE_St_etienne_en_devoluy	5.936	44.68733	1281	1418
FR_METEOFRANCE_St_hilaire_nivose	5.858167	45.30833	1756	1615
FR_METEOFRANCE_St_jean_de_belleville	6.4765	45.42333	1050	1197
FR_METEOFRANCE_St_michel_de_maurienne	6.488333	45.22083	1360	1153
FR_METEOFRANCE_St_pierre_de_chartreuse	5.841167	45.34033	1700	1290
FR_METEOFRANCE_Ste_foy_station	6.8905	45.57333	1524	1398
FR_METEOFRANCE_Tende_casterino	7.502167	44.0885	1554	2032
FR_METEOFRANCE_Vacheresse_auxi	6.670667	46.30917	790	1109
FR_METEOFRANCE_Val_casterino	7.5035	44.09183	1554	1813
FR_METEOFRANCE_Val_cenis_la_berche_	6.92	45.27117	2101	2212
FR_METEOFRANCE_Val_frejus	6.658833	45.1535	2208	2363
FR_METEOFRANCE_Val_thorens	6.576167	45.29	2283	2400
FR_METEOFRANCE_Valjouffrey	6.017667	44.87467	980	1124
FR_METEOFRANCE_Vallompierre	6.268667	44.8	2560	2728
FR_METEOFRANCE_Valmeinier	6.489667	45.17233	1788	1671
FR_METEOFRANCE_Vaujany	6.041667	45.14283	772	930
FR_METEOFRANCE_Vaujany_nivo	6.092	45.15533	1720	1618
FR_METEOFRANCE_Villar_d_arene	6.357	45.02517	1665	1953
FR_METEOFRANCE_Villard_cote_2000	5.567333	45.02133	1710	1840
LOM_BG_CASTIONE_DELLA_PRESOLANA_09035	10.063329	45.92846	1180	1317
