name year mark los_MOD los_STA
HSD_IT_PIE_TO_USSEGLIO_MALCIAUSSIA 2008 OK 148 118
HSD_IT_PIE_TO_USSEGLIO_MALCIAUSSIA 2021 OK 127 97
HSD_IT_PIE_VB_FORMAZZA_BRUGGI 2017 OK 130 94
HSD_IT_PIE_VB_FORMAZZA_BRUGGI 2022 OK 83 57
HSD_IT_VDA_AO_COURMAYEUR-DOLONNE_3110 2007 OK 46 34
HSD_IT_VDA_AO_LA_THUILE-LA_GRANDE_TETE_1340 2005 OK 206 137
HSD_IT_VDA_AO_LA_THUILE-VILLARET_1360 2007 OK 84 61
HSD_IT_VDA_AO_SAINT_CHRISTOPHE-AEROPORTO_4090 2017 OK 53 37
HSD_IT_VDA_AO_SAINT_CHRISTOPHE-AEROPORTO_4090 2020 OK 29 5
HSD_IT_VDA_AO_SAINT_CHRISTOPHE-AEROPORTO_4090 2023 OK 21 14
HSD_IT_VDA_AO_VALGRISENCHE-MENTHIEU_1620 2012 OK 152 107
HSD_IT_VDA_AO_VALGRISENCHE-MENTHIEU_1620 2015 OK 136 108
HSD_IT_VDA_AO_VALGRISENCHE-MENTHIEU_1620 2016 OK 137 106
HSD_IT_VDA_AO_VALPELLINE-CHOSOZ_1630 2004 OK 64 48
HSD_IT_VDA_AO_VALPELLINE-CHOSOZ_1630 2007 OK 26 12
HSD_IT_VDA_AO_VALPELLINE-CHOSOZ_1630 2015 OK 55 37
HSD_IT_VDA_AO_VALPELLINE-CHOSOZ_1630 2016 OK 66 52
HSD_IT_VDA_AO_VALPELLINE-CHOSOZ_1630 2020 OK 53 42
HSD_IT_VEN_VR_MONTE_TOMBA_392 2003 OK 144 91
HSD_IT_VEN_VR_MONTE_TOMBA_392 2010 OK 160 125
HSD_IT_VEN_VR_MONTE_TOMBA_392 2015 OK 109 46
HSD_IT_VEN_VR_MONTE_TOMBA_392 2018 OK 159 84
HSD_IT_VEN_VR_MONTE_TOMBA_392 2019 OK 85 45
HSD_IT_VEN_VR_MONTE_TOMBA_392 2020 OK 84 52
HSD_IT_VEN_VR_MONTE_TOMBA_392 2022 OK 91 59
HSD_IT_VEN_VR_MONTE_TOMBA_392 2023 OK 114 80
HSD_TAA_TN_CAORIA 2020 OK 18 2
HSD_TAA_TN_CAORIA 2023 OK 28 16
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2016 OK 124 73
HSD_TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER 2016 OK 155 120
HSD_TAA_TN_PAGANELLA_MALGA_TERLAGO 2017 OK 121 48
HSD_TAA_TN_PASSO_BROCON 2023 OK 113 86
HSD_TAA_TN_PASSO_TONALE 2012 OK 170 124
HSD_TAA_TN_PRADALAGO_RIFUGIO_VIVIANI 2016 OK 154 118
HSD_TAA_TN_TREMALZO 2015 OK 110 82
HSD_TAA_TN_TREMALZO 2017 OK 75 41
HSD_TAA_TN_TREMALZO 2019 OK 131 77
HSD_TAA_TN_VAL_NOANA_DIGA 2020 OK 30 15
