name year mark los_MOD los_STA
HSD_IT_BZ_Lazfons_Osservatore 2019 OK 21 40
HSD_IT_BZ_Longiaru_Osservatore 2004 OK 132 176
HSD_IT_BZ_Longiaru_Osservatore 2005 OK 94 127
HSD_IT_BZ_Longiaru_Osservatore 2007 OK 84 127
HSD_IT_BZ_Longiaru_Osservatore 2008 OK 89 151
HSD_IT_BZ_Luson_Osservatore 2002 NO 4 23
HSD_IT_BZ_Luson_Osservatore 2004 NO 61 83
HSD_IT_BZ_Luson_Osservatore 2005 NO 15 50
HSD_IT_BZ_Luson_Osservatore 2006 NO 90 118
HSD_IT_BZ_Luson_Osservatore 2007 NO 29 40
HSD_IT_BZ_Luson_Osservatore 2008 NO 45 59
HSD_IT_BZ_Luson_Osservatore 2015 NO 10 21
HSD_IT_BZ_Luson_Osservatore 2016 NO 22 34
HSD_IT_BZ_Luson_Osservatore 2017 NO 21 28
HSD_IT_BZ_Maia_Alta_Osservatore 2001 OK 6 16
HSD_IT_BZ_Maia_Alta_Osservatore 2003 OK 4 16
HSD_IT_BZ_Maia_Alta_Osservatore 2005 OK 10 40
HSD_IT_BZ_Maia_Alta_Osservatore 2006 OK 27 90
HSD_IT_BZ_Maia_Alta_Osservatore 2009 OK 26 55
HSD_IT_BZ_Maia_Alta_Osservatore 2010 OK 7 26
HSD_IT_BZ_Maia_Alta_Osservatore 2011 OK 0 12
HSD_IT_BZ_Maia_Alta_Osservatore 2013 OK 8 13
HSD_IT_BZ_Maia_Alta_Osservatore 2014 OK 4 15
HSD_IT_BZ_Maia_Alta_Osservatore 2018 OK 0 15
HSD_IT_BZ_Maia_Alta_Osservatore 2019 OK 10 15
HSD_IT_BZ_Mazia_Osservatore 2002 OK 21 35
HSD_IT_BZ_Mazia_Osservatore 2003 OK 48 92
HSD_IT_BZ_Mazia_Osservatore 2005 OK 25 79
HSD_IT_BZ_Mazia_Osservatore 2007 OK 21 29
HSD_IT_BZ_Mazia_Osservatore 2013 OK 76 112
HSD_IT_BZ_Mazia_Osservatore 2017 OK 34 54
HSD_IT_BZ_Mazia_Osservatore 2019 OK 77 105
HSD_IT_BZ_Molini_di_Tures_Osservatore 2004 OK 49 69
HSD_IT_BZ_Molini_di_Tures_Osservatore 2005 OK 19 78
HSD_IT_BZ_Molini_di_Tures_Osservatore 2016 OK 21 51
HSD_IT_BZ_Monte_Maria_Osservatore 2001 OK 43 108
HSD_IT_BZ_Monte_Maria_Osservatore 2002 OK 10 31
HSD_IT_BZ_Monte_Maria_Osservatore 2003 OK 22 38
HSD_IT_BZ_Monte_Maria_Osservatore 2004 OK 51 119
HSD_IT_BZ_Monte_Maria_Osservatore 2005 OK 35 86
HSD_IT_BZ_Monte_Maria_Osservatore 2006 OK 91 126
HSD_IT_BZ_Monte_Maria_Osservatore 2007 OK 21 35
HSD_IT_BZ_Monte_Maria_Osservatore 2008 OK 53 86
HSD_IT_BZ_Monte_Maria_Osservatore 2009 OK 84 132
HSD_IT_BZ_Monte_Maria_Osservatore 2010 OK 69 115
HSD_IT_BZ_Monte_Maria_Osservatore 2011 OK 38 84
HSD_IT_BZ_Nova_Ponente_Maso_di_sopra_Osservatore 2003 OK 40 55
HSD_IT_BZ_Nova_Ponente_Maso_di_sopra_Osservatore 2005 OK 82 115
HSD_IT_BZ_Nova_Ponente_Maso_di_sopra_Osservatore 2015 OK 30 49
HSD_IT_BZ_Ortisei_Osservatore 2002 NO 11 18
HSD_IT_BZ_Ortisei_Osservatore 2003 NO 35 52
HSD_IT_BZ_Ortisei_Osservatore 2005 NO 75 108
HSD_IT_BZ_Ortisei_Osservatore 2008 NO 39 71
HSD_IT_BZ_Ortisei_Osservatore 2019 NO 46 72
HSD_IT_BZ_Plata_Osservatore 2002 OK 12 18
HSD_IT_BZ_Redagno_Osservatore 2002 OK 31 57
HSD_IT_BZ_Redagno_Osservatore 2003 OK 44 100
HSD_IT_BZ_Redagno_Osservatore 2005 OK 60 124
HSD_IT_BZ_Redagno_Osservatore 2007 OK 41 105
HSD_IT_BZ_Redagno_Osservatore 2008 OK 56 84
HSD_IT_BZ_Redagno_Osservatore 2011 OK 93 137
HSD_IT_BZ_Redagno_Osservatore 2015 OK 47 86
HSD_IT_BZ_Redagno_Osservatore 2017 OK 28 48
HSD_IT_BZ_Redagno_Osservatore 2019 OK 39 93
HSD_IT_BZ_Rifiano_Beobachter 2009 OK 26 38
HSD_IT_BZ_Rifiano_Beobachter 2010 OK 0 13
HSD_IT_BZ_Rifiano_Beobachter 2013 OK 5 12
HSD_IT_BZ_Rifiano_Beobachter 2014 OK 4 16
HSD_IT_BZ_S_Cassiano_Osservatore 2015 OK 81 107
HSD_IT_BZ_S_Cassiano_Osservatore 2017 OK 38 89
HSD_IT_BZ_S_Pancrazio_Osservatore 2006 OK 88 118
HSD_IT_BZ_S_Valpurga_d_Ultimo_Osservatore 2007 OK 38 68
HSD_IT_BZ_San_Candido_Osservatore 2015 NO 27 67
HSD_IT_BZ_San_Candido_Osservatore 2017 NO 48 67
HSD_IT_BZ_San_Martino_Osservatore 2001 NO 101 138
HSD_IT_BZ_San_Martino_Osservatore 2002 NO 12 58
HSD_IT_BZ_San_Martino_Osservatore 2003 NO 44 65
HSD_IT_BZ_San_Martino_Osservatore 2004 NO 71 129
HSD_IT_BZ_San_Martino_Osservatore 2005 NO 54 118
HSD_IT_BZ_San_Martino_Osservatore 2006 NO 101 135
HSD_IT_BZ_San_Martino_Osservatore 2007 NO 48 93
HSD_IT_BZ_San_Martino_Osservatore 2008 NO 68 106
HSD_IT_BZ_San_Martino_Osservatore 2011 NO 88 128
HSD_IT_BZ_San_Martino_Osservatore 2015 NO 49 71
HSD_IT_BZ_San_Martino_Osservatore 2016 NO 44 65
HSD_IT_BZ_San_Martino_Osservatore 2017 NO 25 56
HSD_IT_BZ_Scena_Osservatore 2004 NO 7 41
HSD_IT_BZ_Scena_Osservatore 2005 NO 12 18
HSD_IT_BZ_Scena_Osservatore 2006 NO 23 55
HSD_IT_BZ_Scena_Osservatore 2009 NO 49 65
HSD_IT_BZ_Scena_Osservatore 2010 NO 0 12
HSD_IT_BZ_Scena_Osservatore 2011 NO 2 12
HSD_IT_BZ_Scena_Osservatore 2013 NO 3 15
HSD_IT_BZ_Scena_Osservatore 2014 NO 12 18
HSD_IT_BZ_Scena_Osservatore 2018 NO 14 22
HSD_IT_BZ_Scena_Osservatore 2019 NO 11 15
HSD_IT_BZ_Sesto_Osservatore 2001 REV 107 140
HSD_IT_BZ_Sesto_Osservatore 2002 REV 35 57
HSD_IT_BZ_Sesto_Osservatore 2008 REV 84 130
HSD_IT_BZ_Silandro_Convento_Osservatore 2009 OK 30 55
HSD_IT_BZ_Silandro_Convento_Osservatore 2010 OK 9 41
HSD_IT_BZ_Silandro_Convento_Osservatore 2013 OK 6 10
HSD_IT_BZ_Silandro_Convento_Osservatore 2014 OK 13 19
HSD_IT_BZ_Slingia_Osservatore 2002 OK 51 74
HSD_IT_BZ_Slingia_Osservatore 2017 OK 66 98
HSD_IT_BZ_Terento_Osservatore 2003 OK 32 54
HSD_IT_BZ_Terento_Osservatore 2004 OK 88 115
HSD_IT_BZ_Terento_Osservatore 2005 OK 31 91
HSD_IT_BZ_Terento_Osservatore 2007 OK 26 37
HSD_IT_BZ_Terento_Osservatore 2015 OK 20 40
HSD_IT_BZ_Terento_Osservatore 2017 OK 26 43
HSD_IT_BZ_Terme_di_Brennero_Osservatore 2005 OK 92 131
HSD_IT_BZ_Valles_osservatore 2019 OK 63 86
HSD_IT_BZ_Valluzza_Osservatore 2008 OK 97 128
HSD_IT_BZ_Valluzza_Osservatore 2019 OK 78 108
HSD_IT_BZ_Vipiteno_osservatore 2001 OK 41 71
HSD_IT_FVG_Casetta_in_Canada 2008 NO 1 60
HSD_IT_FVG_Casetta_in_Canada 2010 NO 45 94
HSD_IT_FVG_Casetta_in_Canada 2012 NO 6 29
HSD_IT_FVG_Casetta_in_Canada 2013 NO 39 121
HSD_IT_FVG_Casetta_in_Canada 2015 NO 13 67
HSD_IT_FVG_Casetta_in_Canada 2016 NO 49 73
HSD_IT_FVG_Casetta_in_Canada 2017 NO 5 31
HSD_IT_FVG_Cave_del_Predil 2015 OK 58 76
HSD_IT_FVG_Claut 2005 OK 64 84
HSD_IT_FVG_Claut 2012 OK 15 60
HSD_IT_FVG_Claut 2015 OK 26 41
HSD_IT_FVG_Claut 2017 OK 13 22
HSD_IT_FVG_Collina 2002 OK 20 91
HSD_IT_FVG_Collina 2003 OK 27 87
HSD_IT_FVG_Collina 2004 OK 69 123
HSD_IT_FVG_Collina 2008 OK 50 142
HSD_IT_FVG_Collina 2012 OK 22 82
HSD_IT_FVG_Collina 2013 OK 65 128
HSD_IT_FVG_Collina 2014 OK 100 132
HSD_IT_FVG_Collina 2015 OK 22 74
HSD_IT_FVG_Collina 2016 OK 55 75
HSD_IT_FVG_Collina 2017 OK 6 10
HSD_IT_FVG_Forni_di_Sopra 2007 NO 44 58
HSD_IT_FVG_Forni_di_Sopra 2008 NO 42 69
HSD_IT_FVG_Forni_di_Sopra 2012 NO 39 76
HSD_IT_FVG_Fusine_Val_Romana 2002 NO 61 102
HSD_IT_FVG_Fusine_Val_Romana 2007 NO 68 102
HSD_IT_FVG_Fusine_Val_Romana 2008 NO 62 106
HSD_IT_FVG_Fusine_Val_Romana 2012 NO 59 81
HSD_IT_FVG_Fusine_Val_Romana 2014 NO 96 134
HSD_IT_FVG_Fusine_Val_Romana 2017 NO 35 48
HSD_IT_FVG_Monte_Zoncolan 2019 REV 112 181
HSD_IT_FVG_Piancavallo 2001 OK 44 98
HSD_IT_FVG_Piancavallo 2002 OK 51 130
HSD_IT_FVG_Piancavallo 2012 OK 29 103
HSD_IT_FVG_Piancavallo 2015 OK 89 120
HSD_IT_FVG_Piancavallo 2017 OK 45 78
HSD_IT_FVG_Pradibosco 2001 NO 70 104
HSD_IT_FVG_Pradibosco 2002 NO 31 59
HSD_IT_FVG_Pradibosco 2003 NO 58 79
