name	lon	lat	ele	lon_DEM	lat_DEM	ele_DEM	diff	mark
CH_SLFBO2	8.4667	46.3333	2310	8.46722222222222	46.3327777777778	2345	-35	ok
CH_SLFTM2	9.0167	46.7833	2195	9.01722222222222	46.7827777777778	2318.625	-123.625	NO
CH_SLFRO2	8	46.7667	1870	8.00055555555556	46.7672222222222	1179.5625	690.4375	NO
CH_FRE	6.5833	46.8333	1205	6.58277777777778	46.8327777777778	736.875	468.125	NO
CH_SLFCA2	8.7167	46.4667	2220	8.71722222222222	46.4672222222222	2226	-6	ok
CH_CHA	7.05	47.1333	1594	7.05055555555556	47.1327777777778	1493.25	100.75	NO
CH_SLFCH2	7.1667	46.3833	2220	7.16722222222222	46.3827777777778	2077.5625	142.4375	NO
CH_SLFCSL	7.0333	47.1167	1455	7.03277777777778	47.1172222222222	1475.0625	-20.0625	ok
CH_SLFCON	7.2833	46.2833	2230	7.28277777777778	46.2827777777778	2125.875	104.125	NO
CH_PERCOR	9.8167	46.4333	2666	9.81722222222222	46.4327777777778	2474.4375	191.5625	NO
CH_SLFCMA	9.1833	46.85	2330	9.18277777777778	46.8505555555556	2304.125	25.875	ok
CH_DAV	9.85	46.8167	1594	9.85055555555556	46.8172222222222	1560.1875	33.8125	ok
CH_SLFDA2	9.8167	46.7	2560	9.81722222222222	46.7005555555556	2647.125	-87.125	NO
CH_SLFDA3	9.7667	46.7833	2450	9.76722222222222	46.7827777777778	2343.1875	106.8125	NO
CH_SLFPAR	9.8	46.85	2290	9.80055555555555	46.8505555555556	2232.4375	57.5625	NO
CH_SLFSLF	9.85	46.8167	1560	9.85055555555556	46.8172222222222	1560.1875	-0.1875	ok
CH_SLFWFJ	9.8167	46.8333	2540	9.81722222222222	46.8327777777778	2372.4375	167.5625	NO
CH_IYDEO	11.55	46.3667	2125	11.5505555555556	46.3672222222222	2344.1875	-219.1875	NO
CH_DIS	8.85	46.7	1197	8.85055555555556	46.7005555555556	1167.0625	29.9375	ok
CH_SLFLUM	8.8667	46.7333	2388	8.86722222222222	46.7327777777778	2068.0625	319.9375	NO
CH_SLFDT2	8.8667	46.55	2060	8.86722222222222	46.5494444444444	2207.125	-147.125	NO
CH_SLFEGH	8.0833	46.4167	2495	8.08277777777778	46.4172222222222	2788.25	-293.25	NO
CH_SLFEL2	9.7167	46.5833	2725	9.71722222222222	46.5827777777778	2627.8125	97.1875	NO
CH_SLFEM2	9.1333	46.9333	2050	9.13277777777778	46.9327777777778	2060.1875	-10.1875	ok
CH_ENG	8.4167	46.8167	1035	8.41722222222222	46.8172222222222	1017.5625	17.4375	ok
CH_DLFEB	8	47.8667	1490	8.00055555555556	47.8672222222222	1317.1875	172.8125	NO
CH_SLFFN2	6.9667	46.1	2240	6.96722222222222	46.1005555555556	2273.25	-33.25	ok
CH_SLFFLU	9.95	46.75	2390	9.94944444444445	46.7494444444444	2401.5	-11.5	ok
CH_SLFFRA	8.85	46.3333	2100	8.85055555555556	46.3327777777778	2158.375	-58.375	NO
CH_SLFES2	7.6333	46.5333	2140	7.63277777777778	46.5327777777778	2067.4375	72.5625	NO
CH_SLFOTT	7.5667	46.5333	2020	7.56722222222222	46.5327777777778	1827.125	192.875	NO
CH_SLFFU2	7.0833	46.2	2610	7.08277777777778	46.2005555555556	2741.9375	-131.9375	NO
CH_MFOFKP	8.4167	46.5833	2425	8.41722222222222	46.5827777777778	2632.8125	-207.8125	NO
CH_SLFFUS	8.6167	46.4333	2390	8.61722222222222	46.4327777777778	2398.0625	-8.0625	ok
CH_SLFFA2	7.5	46.5167	1970	7.50055555555556	46.5172222222222	2005.6875	-35.6875	ok
CH_SLFGAD	8.4	46.75	2060	8.40055555555556	46.7494444444444	1756	304	NO
CH_PERGEM	8.6167	46.6	2865	8.61722222222222	46.6005555555556	2644.0625	220.9375	NO
CH_SLFGL2	9.0333	47	1630	9.03277777777778	46.9994444444444	1784	-154	NO
CH_SLFGO2	8.2333	46.4167	2450	8.23277777777778	46.4172222222222	2554.25	-104.25	NO
CH_SLFGO3	8.2333	46.4833	2430	8.23277777777778	46.4827777777778	1970	460	NO
CH_SLFGOR	7.7833	45.9833	2950	7.78277777777778	45.9827777777778	3058.0625	-108.0625	NO
CH_SLFGR2	6.7833	46.35	1984	6.78277777777778	46.3505555555556	1860	124	NO
CH_IYGRS	10.5	46.8	2040	10.5005555555556	46.7994444444444	2147.375	-107.375	NO
CH_GRH	8.3333	46.5667	1980	8.33277777777778	46.5672222222222	1953.9375	26.0625	ok
CH_SLFFIR	8.0667	46.6667	2110	8.06722222222222	46.6672222222222	2090.625	19.375	ok
CH_IYGSP	12.2167	46.85	2152	12.2172222222222	46.8505555555556	2270.25	-118.25	NO
CH_IYGSR	12.2	46.85	2747	12.2005555555556	46.8505555555556	2496.875	250.125	NO
CH_SLFOBM	7.2167	46.4167	2110	7.21722222222222	46.4172222222222	2187.0625	-77.0625	NO
CH_SLFEN2	9.1833	47	2162	9.18277777777778	46.9994444444444	1739.9375	422.0625	NO
