name first last
HSD_IT_PIE_CN_ARGENTERA 1997 2023
HSD_IT_PIE_CN_BELLINO_RIBIERA 1993 2007
HSD_IT_PIE_CN_BOVES 2023 2023
HSD_IT_PIE_CN_BRA 1996 2023
HSD_IT_PIE_CN_BRIGA_ALTA_UPEGA 1991 1998
HSD_IT_PIE_CN_CANOSIO_CAPOLUOGO 1991 2008
HSD_IT_PIE_CN_CASTELMAGNO 1997 2023
HSD_IT_PIE_CN_CASTELMAGNO_CHIAPPI 1991 2022
HSD_IT_PIE_CN_COLLE_DELL_AGNELLO 2005 2023
HSD_IT_PIE_CN_COLLE_LOMBARDA 1991 2023
HSD_IT_PIE_CN_CRISSOLO-BORGATA_SERRE 1991 2022
HSD_IT_PIE_CN_CUNEO_CASCINA_VECCHIA 2003 2023
HSD_IT_PIE_CN_DIGA_DEL_CHIOTAS 2002 2023
HSD_IT_PIE_CN_ELVA 2002 2023
HSD_IT_PIE_CN_ELVA_B_TA_CLARI 2004 2010
HSD_IT_PIE_CN_ELVA_B_TA_MEIRA 1991 2003
HSD_IT_PIE_CN_ENTRACQUE_CASERMETTE 2002 2022
HSD_IT_PIE_CN_ENTRACQUE_CHIOTAS 1991 2022
HSD_IT_PIE_CN_ENTRACQUE_LAGO_PIASTRA 1991 2022
HSD_IT_PIE_CN_FEISOGLIO 1996 2023
HSD_IT_PIE_CN_GARDETTA 2002 2023
HSD_IT_PIE_CN_LIMONE_LIMONETTO 1991 2010
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2007 2023
HSD_IT_PIE_CN_LIMONE_PANCANI_2008m 1991 2006
HSD_IT_PIE_CN_MONVISO_FINO_2010 2003 2010
HSD_IT_PIE_CN_ORMEA_STANTI 2021 2023
HSD_IT_PIE_CN_PAESANA 1994 2023
HSD_IT_PIE_CN_PAESANA_PRATO_GUGLIELMO 1991 1997
HSD_IT_PIE_CN_PALANFRE 2002 2023
HSD_IT_PIE_CN_PIAGGIA 2000 2023
HSD_IT_PIE_CN_PIAN_DELLE_BARACCHE 1991 2023
HSD_IT_PIE_CN_PIAN_GIASSET 2002 2023
HSD_IT_PIE_CN_PONTECH_L_CASTELLO 1991 2022
HSD_IT_PIE_CN_PONTECHIANALE 1994 2023
HSD_IT_PIE_CN_PRIERO 1994 2023
HSD_IT_PIE_CN_RIFUGIO_MONDOVI 1998 2022
HSD_IT_PIE_CN_ROBURENT_PRA 1991 2010
HSD_IT_PIE_CN_SAMPEYRE_CAPOLUOGO 1991 2022
HSD_IT_PIE_CN_VALDIERI 1994 2023
HSD_IT_PIE_CN_VALDIERI_T_GAINA 1991 2000
HSD_IT_PIE_CN_VALLE_PESIO 2009 2022
HSD_IT_PIE_CN_VERNANTE_RENETTA 1991 2016
HSD_IT_PIE_CN_VINADIO_BAGNI 1991 2010
HSD_IT_PIE_CN_VINADIO_RIOFREDDO 1991 2022
HSD_IT_PIE_SV_SETTEPANI 2004 2022
HSD_IT_PIE_TO_BARCENISIO 1995 2022
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2004 2022
HSD_IT_PIE_TO_BARDONECCHIA_PRANUDIN 2006 2022
HSD_IT_PIE_TO_CALUSO 2010 2022
HSD_IT_PIE_TO_CAMINI_FREJUS 1991 2005
HSD_IT_PIE_TO_CERESOLE_L_SERRU 1991 2022
HSD_IT_PIE_TO_CERESOLE_REALE 1991 2022
HSD_IT_PIE_TO_CERESOLE_VILLA 2000 2022
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2003 2022
HSD_IT_PIE_TO_CLAVIERE 2002 2010
HSD_IT_PIE_TO_CLOT_DELLA_SOMA 1997 2022
HSD_IT_PIE_TO_COLLE_BARANT 1991 2022
HSD_IT_PIE_TO_COLLE_BERCIA 1997 2022
HSD_IT_PIE_TO_COLLERETTO 2000 2022
HSD_IT_PIE_TO_FORNO_ALPI_GRAIE 1998 2022
HSD_IT_PIE_TO_GRANGE_MARTINA 2007 2022
HSD_IT_PIE_TO_LAGO_AGNEL 1997 2022
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 1991 2010
HSD_IT_PIE_TO_LAGO_DIETRO_LA_TORRE 2007 2022
HSD_IT_PIE_TO_LAGO_PILONE 1991 2022
HSD_IT_PIE_TO_LE_SELLE 1992 2022
HSD_IT_PIE_TO_LOCANA_EUGIO 1991 2022
HSD_IT_PIE_TO_LOCANA_ROSONE 1991 2022
HSD_IT_PIE_TO_LOCANA_TELESSIO 1991 2022
HSD_IT_PIE_TO_LOCANA_VAL_SOERA 1991 2022
HSD_IT_PIE_TO_MALCIAUSSIA 2001 2022
HSD_IT_PIE_TO_MONCENISIO_LAGO 1991 2014
HSD_IT_PIE_TO_PIAMPRATO 1994 2022
HSD_IT_PIE_TO_PRAGELATO 2003 2010
HSD_IT_PIE_TO_PRAGELATO_TRAMPOLINO_A_VALLE 2001 2022
HSD_IT_PIE_TO_PRAGELATO_TRAVERSES 1991 2022
HSD_IT_PIE_TO_PRALY 1994 2022
HSD_IT_PIE_TO_PRERICHARD 1991 2022
HSD_IT_PIE_TO_RIFUGIO_GASTALDI 1991 2022
HSD_IT_PIE_TO_RIFUGIO_VACCARONE 1997 2022
HSD_IT_PIE_TO_ROCHEMOLLES_LAGO 1991 2022
HSD_IT_PIE_TO_ROSONE 2006 2022
HSD_IT_PIE_TO_SALBERTRAND 1991 2022
HSD_IT_PIE_TO_SAN_SICARIO 2002 2022
HSD_IT_PIE_TO_SAUZE_CESANA 1999 2022
HSD_IT_PIE_TO_SESTRIERE 1997 2022
HSD_IT_PIE_TO_SESTRIERE_BANCHETTA 2004 2022
HSD_IT_PIE_TO_SOMMEILLER 2011 2022
HSD_IT_PIE_TO_TORINO_BUON_PASTORE 1991 2004
HSD_IT_PIE_TO_TORINO_GIARDINI_REALI 2005 2022
HSD_IT_PIE_TO_USSEGLIO_CAPOLUOGO 1991 2001
HSD_IT_PIE_TO_USSEGLIO_MALCIAUSSIA 1991 2022
HSD_IT_PIE_TO_VAL_CLAREA 2006 2022
HSD_IT_PIE_VB_ALPE_CHEGGIO 1997 2022
HSD_IT_PIE_VB_ALPE_DEVERO 1992 2022
HSD_IT_PIE_VB_ALPE_VEGLIA 2003 2022
HSD_IT_PIE_VB_ANTRONA_A_CAVALLI 1991 2022
HSD_IT_PIE_VB_ANTRONA_LAGO_CAMPOSECCO 1991 2022
HSD_IT_PIE_VB_FORMAZZA 1991 2022
HSD_IT_PIE_VB_FORMAZZA_BRUGGI 2000 2022
HSD_IT_PIE_VB_FORMAZZA_LAGO_SABBIONE 1991 2022
HSD_IT_PIE_VB_FORMAZZA_LAGO_VANNINO 1991 2022
HSD_IT_PIE_VB_FORMAZZA_PONTE 1991 2018
HSD_IT_PIE_VB_FORMAZZA_TOGGIA 1991 2022
HSD_IT_PIE_VB_LARECCHIO 2000 2022
HSD_IT_PIE_VB_MACUGNAGA_CAP 1991 2022
HSD_IT_PIE_VB_MACUGNAGA_PECETTO 2000 2022
HSD_IT_PIE_VB_MACUGNAGA_RIFUGIO_ZAMBONI 2008 2022
HSD_IT_PIE_VB_PASSO_DEL_MORO 1991 2022
HSD_IT_PIE_VC_ALAGNA 2002 2022
HSD_IT_PIE_VC_ALAGNA_CAP 1991 2022
HSD_IT_PIE_VC_ALBANO_VERCELLESE 1998 2022
HSD_IT_PIE_VC_BOCCHETTA_DELLE_PISSE 1991 2022
HSD_IT_PIE_VC_CARCOFORO_CAP 1991 2017
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2010 2023
HSD_IT_VDA_AO_BIONAZ-PLACE_MOULIN_1040 2003 2023
HSD_IT_VDA_AO_CHAMOIS-LAC_DE_LOU_1080 2008 2023
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2001 2023
HSD_IT_VDA_AO_CHAMPORCHER-RIFUGIO_DONDENA_1120 2003 2023
HSD_IT_VDA_AO_COGNE-GRAND_CROT_1160 2007 2023
HSD_IT_VDA_AO_COGNE-LILLAZ_1140 2002 2023
HSD_IT_VDA_AO_COURMAYEUR-DOLONNE_3110 2006 2023
HSD_IT_VDA_AO_COURMAYEUR-FERRACHET_1170 2002 2023
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1993 2023
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2002 2023
HSD_IT_VDA_AO_FENIS-LAVODILEC_1240 2007 2023
HSD_IT_VDA_AO_GRESSAN-PILA_LEISSE_1250 2007 2023
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-BIELTSCHOCKE_3040 2002 2023
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2011 2023
HSD_IT_VDA_AO_GRESSONEY-LA_TRINITE_ESELBODE_1270 2002 2023
HSD_IT_VDA_AO_GRESSONEY-SAINT_JEAN_WEISSMATTEN_1300 2003 2023
HSD_IT_VDA_AO_LA_THUILE-LA_GRANDE_TETE_1340 1998 2023
HSD_IT_VDA_AO_LA_THUILE-VILLARET_1360 2002 2023
HSD_IT_VDA_AO_MORGEX-LAVANCHER_1390 2000 2023
HSD_IT_VDA_AO_NUS-SAINT_BARTHELEMY_OSSERVATORIO_3080 2014 2023
HSD_IT_VDA_AO_OLLOMONT-BY_1440 2008 2023
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 1993 2023
HSD_IT_VDA_AO_RHEMES_NOTRE_DAME-CHANAVEY_1520 2008 2023
HSD_IT_VDA_AO_RHEMES_NOTRE_DAME-CHAUDANNE_3060 2002 2023
HSD_IT_VDA_AO_RHEMES_SAINT_GEORGES-FELEUMAZ_1530 2006 2023
HSD_IT_VDA_AO_SAINT_CHRISTOPHE-AEROPORTO_4090 2015 2023
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2010 2023
HSD_IT_VDA_AO_SAINT_RHEMY_EN_BOSSES-CREVACOL_1590 2002 2023
HSD_IT_VDA_AO_SAINT_RHEMY_EN_BOSSES-GRAN_SAN_BERNARDO_1600 2007 2023
HSD_IT_VDA_AO_VALGRISENCHE-MENTHIEU_1620 2007 2023
HSD_IT_VDA_AO_VALPELLINE-CHOSOZ_1630 2002 2023
HSD_IT_VDA_AO_VALSAVARENCHE-ORVIEILLE_1670 2006 2023
HSD_IT_VDA_AO_VALSAVARENCHE-PONT_3070 2001 2023
HSD_IT_VDA_AO_VALTOURNENCHE-BREUIL_CERVINIA_3590 2010 2023
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2007 2023
HSD_IT_VDA_AO_VALTOURNENCHE-LAGO_GOILLET_1700 2003 2023
HSD_IT_VEN_BL_CASERA_COLTRONDO_395 1990 2024
HSD_IT_VEN_BL_CASERA_DOANA_389 1989 2024
HSD_IT_VEN_BL_CASERA_PALANTINA_397 1992 2024
HSD_IT_VEN_BL_CIMA_PRADAZZO_383 1986 2024
HSD_IT_VEN_BL_COL_DEI_BALDI_384 1986 2024
HSD_IT_VEN_BL_FAVERGHERA_388 1989 2024
HSD_IT_VEN_BL_MALGA_LOSCH_390 1989 2024
HSD_IT_VEN_BL_MONTE_PIANA_394 1990 2024
HSD_IT_VEN_BL_MONTI_ALTI_DI_ORNELLA_382 1986 2024
HSD_IT_VEN_BL_PASSO_FALZAREGO_347 1989 2024
HSD_IT_VEN_BL_RA_VALLES_385 1993 2024
HSD_IT_VEN_TV_MONTE_GRAPPA_391 1989 2024
HSD_IT_VEN_VI_CAMPOMOLON_396 1991 2024
HSD_IT_VEN_VI_MALGA_LARICI_398 1995 2024
HSD_IT_VEN_VI_MONTE_LISSER_386 1988 2024
HSD_IT_VEN_VI_PASSO_CAMPOGROSSO_393 1989 2024
HSD_IT_VEN_VR_MONTE_BALDO_387 1987 2024
HSD_IT_VEN_VR_MONTE_TOMBA_392 1989 2024
HSD_LOM_BG_CARONA_CARISOLE_08024 1994 2024
HSD_LOM_BG_CARONA_LAGO_FREGABOLGIA_00117 2019 2024
HSD_LOM_BG_CASTIONE_DELLA_PRESOLANA_09035 2005 2017
HSD_LOM_BG_OLTRE_IL_COLLE_ZAMBLA_09037 2013 2024
HSD_LOM_BG_VALBONDIONE_09040 2005 2024
HSD_LOM_BS_BRENO_LAGO_DELLA_VACCA_14364 2013 2024
HSD_LOM_BS_EDOLO_PANTANO_D_AVIO_08020 1994 2024
HSD_LOM_BS_MONNO_09043 2005 2024
HSD_LOM_BS_PONTE_DI_LEGNO_CASE_PIRLI_09042 2005 2024
HSD_LOM_LC_BARZIO_PIANI_DI_BOBBIO_14279 2013 2024
HSD_LOM_SO_APRICA_08017 1993 2024
HSD_LOM_SO_CAMPODOLCINO_ALPE_MOTTA_14252 2013 2024
HSD_LOM_SO_GEROLA_ALTA_PESCEGALLO_08014 1993 2024
HSD_LOM_SO_LANZADA_PALU_08093 1993 2024
HSD_LOM_SO_LANZADA_PASSO_MARINELLI_14205 2013 2024
HSD_LOM_SO_LIVIGNO_LA_VALLACCIA_08028 1994 2024
HSD_LOM_SO_PONTE_IN_VALTELLINA_LAGO_REGUZZO_14178 2013 2024
HSD_LOM_SO_SAN_GIACOMO_FILIPPO_LAGO_TRUZZO_09041 2005 2024
HSD_LOM_SO_VAL_MASINO_MERDAROLA_17592 2009 2024
HSD_LOM_SO_VALDISOTTO_OGA_S_COLOMBANO_08009 1993 2024
