name	lon	lat	ele	lon_DEM	lat_DEM	ele_DEM	diff	mark
CH_SLFEL2	9.7167	46.5833	2725	9.71680555555556	46.5831944444444	2638	87	NO
CH_SLFEM2	9.1333	46.9333	2050	9.13319444444445	46.9331944444444	2086	-36	NO
CH_ENG	8.4167	46.8167	1035	8.41680555555556	46.8168055555556	1017	18	NO
CH_DLFEB	8	47.8667	1490	8.00013888888889	47.8668055555556	1318	172	NO
CH_SLFFN2	6.9667	46.1	2240	6.96680555555556	46.1001388888889	2306	-66	NO
CH_SLFFLU	9.95	46.75	2390	9.94986111111111	46.7498611111111	2434	-44	NO
CH_SLFFRA	8.85	46.3333	2100	8.85013888888889	46.3331944444444	2128	-28	NO
CH_SLFES2	7.6333	46.5333	2140	7.63319444444444	46.5331944444444	2070	70	NO
CH_SLFOTT	7.5667	46.5333	2020	7.56680555555556	46.5331944444444	1817	203	NO
CH_SLFFU2	7.0833	46.2	2610	7.08319444444444	46.2001388888889	2792	-182	NO
CH_MFOFKP	8.4167	46.5833	2425	8.41680555555556	46.5831944444444	2635	-210	NO
CH_SLFFUS	8.6167	46.4333	2390	8.61680555555555	46.4331944444444	2459	-69	NO
CH_SLFFA2	7.5	46.5167	1970	7.50013888888889	46.5168055555556	1990	-20	NO
CH_SLFGAD	8.4	46.75	2060	8.40013888888889	46.7498611111111	1713	347	NO
CH_PERGEM	8.6167	46.6	2865	8.61680555555555	46.6001388888889	2664	201	NO
CH_SLFGL2	9.0333	47	1630	9.03319444444444	46.9998611111111	1788	-158	NO
CH_SLFGO2	8.2333	46.4167	2450	8.23319444444444	46.4168055555556	2571	-121	NO
CH_SLFGO3	8.2333	46.4833	2430	8.23319444444444	46.4831944444444	1966	464	NO
CH_SLFGOR	7.7833	45.9833	2950	7.78319444444444	45.9831944444444	3107	-157	NO
CH_SLFGR2	6.7833	46.35	1984	6.78319444444444	46.3501388888889	1860	124	NO
CH_IYGRS	10.5	46.8	2040	10.5001388888889	46.7998611111111	2139	-99	NO
CH_GRH	8.3333	46.5667	1980	8.33319444444444	46.5668055555556	1984	-4	ok
