station year duration start
HSD_TAA_TN_VAL_NOANA_DIGA 2012 53 314
HSD_TAA_TN_VAL_NOANA_DIGA 2013 129 93
HSD_TAA_TN_VAL_NOANA_DIGA 2014 129 82
HSD_TAA_TN_VAL_NOANA_DIGA 2015 124 242
HSD_TAA_TN_VAL_NOANA_DIGA 2016 65 302
HSD_TAA_TN_VAL_NOANA_DIGA 2017 63 91
HSD_TAA_TN_VAL_NOANA_DIGA 2018 147 219
HSD_TAA_TN_VAL_NOANA_DIGA 2019 84 102
HSD_TAA_TN_VAL_NOANA_DIGA 2020 19 1
HSD_TAA_TN_VAL_NOANA_DIGA 2021 106 93
HSD_TAA_TN_VAL_NOANA_DIGA 2022 75 89
HSD_TAA_TN_VAL_NOANA_DIGA 2023 70 100
HSD_TAA_TN_VAL_NOANA_DIGA 2024 34 127
HSD_TAA_TN_CIMA_CAVAION 2019 259 69
HSD_TAA_TN_CIMA_CAVAION 2020 303 64
HSD_TAA_TN_CIMA_CAVAION 2021 261 63
HSD_TAA_TN_CIMA_CAVAION 2022 156 109
HSD_TAA_TN_CIMA_CAVAION 2023 108 186
HSD_TAA_TN_CIMA_CAVAION 2024 229 52
HSD_TAA_TN_PASSO_MENDOLA 2013 334 1
HSD_TAA_TN_PASSO_MENDOLA 2014 150 68
HSD_TAA_TN_PASSO_MENDOLA 2015 365 1
HSD_TAA_TN_PASSO_MENDOLA 2016 281 86
HSD_TAA_TN_PASSO_MENDOLA 2017 104 1
HSD_TAA_TN_PASSO_MENDOLA 2018 292 74
HSD_TAA_TN_PASSO_MENDOLA 2019 139 227
HSD_TAA_TN_PASSO_MENDOLA 2020 366 1
HSD_TAA_TN_PASSO_MENDOLA 2021 272 94
HSD_TAA_TN_PASSO_MENDOLA 2022 131 1
HSD_TAA_TN_PASSO_MENDOLA 2023 41 126
HSD_TAA_TN_PASSO_MENDOLA 2024 267 14
HSD_TAA_TN_PASSO_COSTALUNGA 2013 100 137
HSD_TAA_TN_PASSO_COSTALUNGA 2014 236 1
HSD_TAA_TN_PASSO_COSTALUNGA 2015 122 100
HSD_TAA_TN_PASSO_COSTALUNGA 2016 79 124
HSD_TAA_TN_PASSO_COSTALUNGA 2017 99 1
HSD_TAA_TN_PASSO_COSTALUNGA 2018 170 63
HSD_TAA_TN_PASSO_COSTALUNGA 2019 128 77
HSD_TAA_TN_PASSO_COSTALUNGA 2020 181 43
HSD_TAA_TN_PASSO_COSTALUNGA 2021 241 1
