name lon lat ele mark
CH_SLFKE2 9.9 46.6167 2725 ok
CH_SLFKL3 9.9333 46.8333 2310 NO
CH_SLFKL2 9.8667 46.9167 2140 NO
CH_CDF 6.8 47.0833 1017 ok
CH_DOL 6.1 46.4167 1669 NO
CH_SLFFO2 7.0333 45.9833 2942 NO
CH_IYLAD 11.3667 46.9333 1960 ok
CH_SLFGA2 7.7667 46.4333 2717 NO
CH_SLFLE2 7.3833 46.4333 1970 NO
CH_IYLAU 11.0333 46.5167 2165 ok
CH_MLS 7.0167 46.55 1974 ok
CH_SLFATT 7.2667 46.1 2545 NO
CH_SLFDIA 7.25 46.3167 2575 NO
CH_SLFTR2 7.585568 46.370975 2480 MOD
CH_SLFBV2 7.237210 45.984787 2687 MOD
CH_SLFORT 8.95 46.9167 1830 ok
CH_SLFLU2 8.783516 46.604149 2550 MOD
CH_SLFSCB 8.1 46.7833 1770 ok
CH_SLFML2 9.611789 47.088465 1976 MOD
CH_SLFMTR 8.9167 46.4167 1890 NO
CH_SLFMEI 8.551012 46.743754 2220 MOD
CH_IYMEL 10.6167 46.85 2450 NO
CH_SLFME2 9.160299 46.414004 2380 MOD
CH_PERLAP 7.2833 46.1 2505 NO
CH_SLFMU2 7.9333 46.3333 2210 NO
CH_SLFMO2 8.75 46.9333 2083 NO
CH_SLFMT2 9.0167 46.8667 2474 NO
CH_SLFMAE 7.95 46.6167 2165 NO
CH_SLFNAS 10.25 46.8167 2350 NO
CH_NAP 7.9333 47 1403 NO
CH_SLFNA2 8.8667 46.4667 2070 NO
CH_SLFNE3 7.3333 46.15 2204 NO
CH_SLFOB2 8.3167 46.55 2430 ok
CH_SLFOB3 8.35 46.5 2200 NO
CH_SLFOF2 10.2833 46.6333 2360 NO
CH_IYPTR 11.4833 46.8 2100 NO
CH_IYPFE 11.0833 46.8 1640 NO
CH_IYPFG 11.1 46.8 2015 NO
CH_IYPFD 11.6833 46.95 2808 NO
CH_IYPFS 11.6833 46.9333 2050 NO
CH_SLFLA3 9.7 46.4167 2300 NO
CH_SLFLA2 9.75 46.45 2730 NO
CH_SLFPMA 9.5333 46.5833 2430 NO
CH_PLF 7.2667 46.75 1042 ok
CH_ROB 10.0667 46.35 1078 ok
CH_IYPRR 12.1167 46.6667 2340 ok
CH_IYPRM 12.1167 47.0333 2006 NO
CH_SLFPU2 8.8667 46.6333 2195 NO
CH_IYRAT 11.3 46.85 1907 NO
CH_SBE 9.1833 46.4667 1638 NO
CH_SLFSA4 7.9 46.1167 2680 ok
CH_SLFSA5 7.9833 46.1333 2952 NO
CH_SLFSA3 7.9667 46.1167 2810 NO
CH_SLFSA2 7.8833 46.1667 2480 NO
CH_SAM 9.8833 46.5333 1708 ok
CH_SLFSMN 10.3333 46.95 2520 NO
CH_PERSCH 7.8333 46.55 2913 NO
CH_SLFSH2 7.8333 46.5833 2360 NO
CH_IYSFI 10.8167 46.7333 1950 NO
CH_IYSTG 10.7667 46.7833 3035 NO
CH_SLFSC3 8.7833 46.8833 2330 NO
CH_SLFSC2 8.7167 46.8167 2030 NO
CH_SCU 10.2833 46.8 1303 NO
CH_PERRIT 7.85 46.1667 2690 ok
CH_IYSEI 11.6833 46.5167 2055 ok
CH_IYROT 12.3667 46.6667 1910 NO
CH_SLFSHE 7.8167 46.75 1850 ok
CH_SLFBOR 8.109297 46.290526 2520 MOD
CH_SLFSP3 8.05 46.1833 2420 NO
CH_SLFSP2 8.117638 46.229420 2620 MOD
CH_SLFSTN 7.75 46.1667 2910 ok
CH_PERSTO 7.8167 45.9833 3415 NO
CH_SLFST2 7.519657 46.682047 1791 MOD
CH_IYSUM 10.6167 46.5 2825 NO
CH_SLFTA3 9.458176 46.891003 2170 MOD
CH_SLFTA2 9.390941 46.968343 2460 MOD
CH_IYTIM 11.15 46.9167 2230 ok
CH_SLFTIT 8.4167 46.7833 2140 NO
CH_SLFTU2 8.723754 46.683891 2270 MOD
CH_SLFTU3 8.7333 46.65 2220 NO
CH_ULR 8.3 46.5 1345 ok
CH_IYRBW 10.8167 46.4667 2255 NO
CH_SLFUR2 8.5167 46.5833 2170 NO
CH_SLFIL2 6.8333 46.1833 2020 NO
CH_SLFVL2 9.2 46.6667 2070 NO
CH_SLFVI2 10.45 46.9333 2730 NO
CH_SLFRNZ 8.6333 46.6833 2400 NO
CH_IYWEI 11.8667 46.9333 2155 NO
CH_IYWEN 11.5333 46.4333 1128 NO
CH_SLFYBR 8.8333 47.0333 1701 NO
CH_ZER 7.75 46.0333 1638 NO
CH_SLFZE4 7.7 46 2408 ok
CH_SLFZE2 7.7333 46.05 2750 NO
CH_SLFZN2 10.0167 46.7 2680 ok
IT_VDA_AO_BIONAZ-PLACE_MOULIN_1040 7.49137 45.8997 1979 ok
IT_VDA_AO_CHAMOIS-LAC_DE_LOU_1080 7.62275 45.8446 2020 ok
IT_VDA_AO_CHAMPORCHER-RIFUGIO_DONDENA_1120 7.55184 45.6123 2181 ok
IT_VDA_AO_COGNE-LILLAZ_1140 7.39184 45.5951 1613 ok
IT_VDA_AO_COGNE-GRAND_CROT_1160 7.36744 45.588 2279 ok
IT_VDA_AO_COURMAYEUR-FERRACHET_1170 7.02754 45.8668 2290 ok
IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 6.98204 45.817 2110 ok
IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 7.06523 45.8843 2040 ok
IT_VDA_AO_FENIS-LAVODILEC_1240 7.48514 45.6448 2250 ok
IT_VDA_AO_GRESSAN-PILA_LEISSE_1250 7.30885 45.6643 2280 ok
IT_VDA_AO_GRESSONEY-LA_TRINITE_ESELBODE_1270 7.82587 45.8306 1642 ok
IT_VDA_AO_GRESSONEY-SAINT_JEAN_WEISSMATTEN_1300 7.82505 45.7484 2038 ok
IT_VDA_AO_LA_THUILE-LA_GRANDE_TETE_1340 6.91591 45.6837 2430 ok
IT_VDA_AO_LA_THUILE-VILLARET_1360 6.95609 45.7095 1488 ok
IT_VDA_AO_MORGEX-LAVANCHER_1390 7.02014 45.7952 2842 ok
IT_VDA_AO_OLLOMONT-BY_1440 7.30066 45.8814 2017 ok
IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 6.95213 45.7547 2177 NO
IT_VDA_AO_RHEMES_NOTRE_DAME-CHANAVEY_1520 7.12338 45.5788 1690 ok
IT_VDA_AO_RHEMES_SAINT_GEORGES-FELEUMAZ_1530 7.12436 45.6078 2362 ok
IT_VDA_AO_SAINT_RHEMY_EN_BOSSES-CREVACOL_1590 7.15589 45.8291 2018 ok
IT_VDA_AO_SAINT_RHEMY_EN_BOSSES-GRAN_SAN_BERNARDO_1600 7.15363 45.8695 2360 ok
IT_VDA_AO_VALGRISENCHE-MENTHIEU_1620 7.0525 45.6137 1859 ok
IT_VDA_AO_VALPELLINE-CHOSOZ_1630 7.33963 45.8269 1029 ok
IT_VDA_AO_VALSAVARENCHE-ORVIEILLE_1670 7.19196 45.5799 2170 ok
IT_VDA_AO_VALTOURNENCHE-LAGO_GOILLET_1700 7.66271 45.9313 2541 ok
IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 7.60298 45.9295 2566 ok
IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 7.71959 45.8742 2045 ok
IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 7.19172 45.7636 2370 ok
IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 7.90497 45.741 2270 ok
IT_VDA_AO_GRESSONEY_SAINT_JEAN-BIELTSCHOCKE_3040 7.83305 45.7674 1370 ok
