data swe mean_swe covered mean_over_covered
1951-10-01 0.226881807997142 1.4912861683438 5587 68.0517093082908
1951-10-02 0.218326226571701 1.43521460877859 4299 85.1150034246825
1951-10-03 0.21002597463339 1.38080140656679 3540 99.4453953123194
1951-10-04 0.20444076515337 1.34423947803272 3028 113.182034069987
1951-10-05 0.201750267070902 1.32664707904468 2800 120.796428374829
1951-10-06 0.201078473376777 1.32225054838006 2704 124.670524985224
1951-10-07 0.200555808668561 1.31883302903268 2652 126.786500597628
1951-10-08 0.200380071826098 1.317684181012 2632 127.638639678264
1951-10-09 0.200440455569151 1.31807876676729 2807 119.716957487028
1951-10-10 0.200593362055828 1.31905307165662 3006 111.874218121067
1951-10-11 0.201081934395101 1.32216621887771 3252 103.65547345298
1951-10-12 0.202634937968969 1.33213597809196 4900 69.312122398066
1951-10-13 0.202621438904246 1.33207322093827 5135 66.1369814511066
1951-10-14 0.207667859658682 1.3644574831988 5511 63.12280889113
1951-10-15 0.210165420819585 1.38056489189537 5951 59.1457569742254
1951-10-16 0.209081071838956 1.37359257176214 5413 64.6958802444724
1951-10-17 0.207789520829757 1.36529489889088 4904 70.9794656947653
1951-10-18 0.206390782785832 1.35630375957212 4412 78.3751132834706
1951-10-19 0.211000566486977 1.38634835611664 4939 71.5632516177958
1951-10-20 0.211013968081741 1.38673431101455 4881 72.4337839228581
1951-10-21 0.210025682860959 1.38061901837859 4319 81.498078109433
1951-10-22 0.26219356437116 1.72494871730547 8216 53.5269474714882
1951-10-23 0.423255327937285 2.78502339727129 19161 37.0567559186741
1951-10-24 0.560443119924797 3.68277316280118 20337 46.1683975330346
1951-10-25 0.612769931020808 4.01948178327287 19348 52.9652108810834
1951-10-26 0.676030062672776 4.42929935669481 24694 45.7299060617437
1951-10-27 0.66279167428743 4.34259328464578 20598 53.7502913153571
1951-10-28 0.655073445142125 4.29226989035316 19313 56.6622741581022
1951-10-29 0.650621117188607 4.26334472276309 18643 58.3030628339415
1951-10-30 0.652053811039866 4.2729838302777 18338 59.4067783026027
1951-10-31 0.723564742761568 4.74027715294605 19963 60.5389170175198
1951-11-01 0.886316395903079 5.81845335342191 37596 39.4568704359046
1951-11-02 1.00953490615757 6.63588415051035 42767 39.5591297041355
1951-11-03 1.01859203608184 6.69588626801997 41638 40.9991570180595
1951-11-04 1.18451877549501 7.7941153387018 49342 40.2723339085842
1951-11-05 1.17695270881368 7.74429909822596 46203 42.7335194552693
1951-11-06 1.17923780663414 7.76044259353648 42173 46.9146752582154
1951-11-07 1.21031109603483 7.96416134880105 38465 52.7874925266652
1951-11-08 1.41336701459174 9.29833693816948 36224 65.4433607752663
1951-11-09 1.77995827373776 11.7078030742093 37002 80.6690476615515
1951-11-10 1.96993582554876 12.9515597105439 35155 93.9272678072217
1951-11-11 2.33525547868184 15.3441171002211 33530 116.671577656381
1951-11-12 2.68142461354331 17.6165412122975 32868 136.648253578449
1951-11-13 2.73499272095219 17.9727076956425 34459 132.974253452269
1951-11-14 2.74720121221705 18.053314163145 34473 133.516389615293
1951-11-15 2.74170998432235 18.0172707662286 33393 137.559404639318
1951-11-16 2.73396365448653 17.9665982873821 32650 140.294094945371
1951-11-17 2.72378841618143 17.8996516952824 31804 143.489312645074
1951-11-18 2.79620675137371 18.3772324870089 34049 137.604446526929
1951-11-19 3.16406777183452 20.7933202859698 36861 143.818067882811
1951-11-20 3.49980378528862 22.9988491914138 34855 168.227789419026
1951-11-21 3.66786723129278 24.1059972328162 33422 183.886305442634
1951-11-22 3.83190306635092 25.1938862817525 37911 169.428569581891
1951-11-23 3.86394760084419 25.4050154805617 43601 148.552420856968
1951-11-24 3.86122811873391 25.3873583599412 41584 155.649586408844
1951-11-25 3.84740040901282 25.2966934816216 39187 164.580531804754
1951-11-26 3.83608489412965 25.2225317828589 37593 171.056039703446
1951-11-27 3.83525653392206 25.2171664375374 37359 172.090842913799
1951-11-28 3.83661336261441 25.2262548515273 37483 171.583355138376
1951-11-29 3.83722013833303 25.2303626991585 37306 172.425513336009
1951-11-30 3.83708264593668 25.2294233033717 37527 171.403701351505
1951-12-01 3.82963019639729 25.1807794531545 36513 175.824087376036
1951-12-02 3.8275094250403 25.1669081551018 36039 178.038469465061
1951-12-03 3.83280524968744 25.201493624775 40100 160.228079828679
1951-12-04 3.87539314939754 25.4746249315639 49383 131.518561062049
1951-12-05 3.86606977700449 25.4141619448192 43843 147.785644276021
1951-12-06 3.8663165306874 25.4169871838876 42144 153.760589870903
1951-12-07 3.93861631382319 25.8919251110551 49538 133.25471757012
1951-12-08 4.00828781060325 26.3535553874345 55740 120.539384635483
1951-12-09 4.00904347804479 26.3585783170368 54186 124.019966421342
1951-12-10 4.01806411323177 26.4172468428821 52157 129.131343824216
1951-12-11 4.01638959448482 26.4063545543018 51233 131.406056642668
