years max_swe fap_swe
1952 12.8489263545553 8.08733148767606
1953 16.5500972583112 6.28686671621705
1954 6.51053901969644 4.24249136114049
1955 11.0277589284686 8.63926844122093
1956 11.1424206503888 8.60417818826444
1957 8.35962050116889 4.51275936464882
1958 9.37526429725177 6.71697192366175
1959 8.05472948974969 6.29249852470907
1960 22.1027911728172 19.6598929619224
1961 20.3346941327804 12.4733035969927
1962 10.8871713598486 8.11177605338115
1963 11.6520942986084 9.04372104285331
1964 9.12229383931539 8.23821487860537
1965 12.6568877655237 8.60564882630344
1966 8.05335037704859 6.44337532786909
1967 8.70069472237612 6.67746042603533
1968 10.3971371996115 8.70048889818559
1969 18.9461691051483 12.8274748047847
1970 10.146556202001 8.59798997146288
1971 10.8258725941879 10.06373113156
1972 17.9303325468758 14.8738242598359
1973 8.7560701745037 5.83868570084423
1974 8.59569042418161 5.94589301438835
1975 12.1091766459168 9.40519875601081
1976 11.7020982735419 7.93378222729929
1977 17.6074821551761 15.7534699475274
1978 14.6736540829101 11.6955066514518
1979 11.1347594519014 10.9555025619234
1980 16.4820924788564 15.1365542417479
1981 11.7117549832958 7.18370473854978
1982 8.68520362454579 7.81439554011874
1983 6.80509989723197 5.84443398759807
1984 15.4923708318935 14.0486183423464
1985 15.1978049543755 12.4411341682327
1986 13.8715715629293 8.98985562534961
1987 8.41636948719365 6.21354985664996
1988 11.2175405325877 11.2175405325877
1989 6.73018400920375 2.50236428081488
1990 3.86472496542995 2.40574038581365
1991 11.2712446548572 6.56360403434951
1992 10.4537124655793 8.86257154817651
1993 9.52968142338548 5.66787962596183
1994 8.00036297778704 4.32741260595491
1995 4.716863655554 4.0397074851501
1996 13.5979822528895 8.53533040722151
1997 13.1108858177199 6.45608590817483
1998 5.15474508337976 2.29178650545447
1999 4.73079180310026 3.43060372481349
2000 7.49215963150682 6.52148677503275
2001 16.1285160886495 14.5392589082174
2002 2.88586366603091 1.50881650149037
2003 6.87724350514144 4.54568028022012
2004 18.6589303987322 11.1967304690915
2005 7.21205371745034 2.22146193805654
2006 6.51601648024905 4.21208359278879
2007 3.14879701773959 3.14879701773959
2008 9.15399771046588 7.0074623481649
2009 22.8062571637374 16.0084658001673
2010 8.83837622224071 6.81753665684174
2011 6.81727911863345 4.98303879283726
2012 7.00807188270266 3.28244017403731
2013 11.3968638372024 11.3596109219329
2014 14.5257915444322 9.71716272881825
2015 6.66323899214793 5.331856171532
2016 11.1773612325914 8.03131270401471
2017 5.807086961332 3.49905827833699
2018 9.74879016517756 9.22900901392965
2019 6.66472854774903 3.12253334512291
2020 11.5309028923479 10.5966682474918
2021 16.415974052822 7.84428220176309
2022 3.21879074411042 1.73737341637325
2023 3.1644068009031 1.51472305924009
