min_data min_swe min_mean_swe min_number_covered min_mean_over_covered
1951-10-08 0.200380071826098 1.317684181012 2632 127.638639678264
1953-10-11 0.408230749432417 2.68298300507796 2458 278.286899970558
1954-10-20 0.70440298299546 4.63608458647753 1449 815.717323262273
1955-10-03 0.958507439117495 6.30805723177476 1620 992.744135369264
1957-10-18 1.13959094829656 7.49820437034055 1162 1645.15895217099
1958-10-01 1.32029887922944 8.6852203148882 5072 436.57444883696
1959-10-05 1.38024567988786 9.07745842049003 808 2864.24146257717
1961-10-01 1.52799379829045 10.0469760946155 1371 1868.33450204108
1962-10-07 1.57401068265913 10.3492043657413 948 2783.27004456762
1963-10-01 1.84081534863381 12.1014504633556 1348 2288.78108092208
1966-09-28 2.36811401599084 15.5779792934943 1281 3100.4070248678
1966-10-08 2.3696265520493 15.5873881248105 1337 2972.3412040453
1967-10-26 2.47797463727462 16.3006946119572 1013 4102.54530307316
1969-11-04 2.57331451136635 16.924985594115 818 5275.11247213352
1970-10-01 2.68601163921091 17.6657902806805 2619 1719.70633747605
1971-10-12 2.76409576641725 18.178167178457 866 5351.66501191085
1974-08-25 2.95763369244541 19.4497201481291 746 6647.0852566832
1975-08-21 3.16424778054513 20.8104615959379 903 5875.57917424803
1975-10-09 3.19869946815824 21.0364850295414 907 5913.20054549791
1977-10-01 4.0705957727053 26.773688683258 2806 2432.63674393632
1979-09-19 4.47091652533159 29.4111362665923 1394 5379.05208199712
1979-10-10 4.59842788558642 30.2534353552012 3959 1948.25551837431
1982-09-22 4.90128816434282 32.2383516716841 1080 7610.37036763661
1982-10-03 4.93625460411068 32.4682939289966 2171 3812.90833970134
1983-10-08 5.0254937739354 33.0529673370307 974 8651.8347798186
1985-10-18 5.10095741315549 33.5493922563166 1209 7074.81480987607
1986-10-18 5.22497162405265 34.3641923140369 810 10816.2780180938
1987-10-03 5.30830805087058 34.9143983564761 4453 1998.98063673522
1989-10-27 5.41484142300911 35.6139670002929 860 10557.926163595
1991-09-25 5.42056520608638 35.6494482561734 672 13525.0929797019
1993-08-26 5.55130563060615 36.5084401122583 671 13871.6293816101
1994-08-31 5.67549984971384 37.3235139575738 643 14798.8603530286
1994-10-18 5.77091036070413 37.9511737612629 1668 5800.77320240272
1997-09-30 5.952770771014 39.1428689700096 612 16306.394749629
1998-09-03 5.87940244467918 38.6582535485764 582 16934.6398633387
1999-09-17 6.03145636901755 39.6578903469221 610 16575.1127898986
1999-10-02 6.15181692491482 40.4527003501215 3551 2904.38085242575
2001-10-19 6.25353069453094 41.1192472653569 1312 7990.39116581555
2003-09-22 6.10568840049186 40.1408576090841 548 18675.0945041854
2003-10-02 6.11037051115979 40.1716086423237 1001 10231.5602347343
2006-09-13 6.07093197129449 39.9079301224977 541 18806.9624633288
2006-10-02 6.12950081270371 40.2908924086467 1343 7648.69941211979
2009-09-11 6.15616389757043 40.4652538473226 552 18689.595894255
2009-10-08 6.15850725228646 40.4803201525017 535 19290.6506601878
2011-09-16 6.25311230678544 41.1007643686326 463 22632.140338115
2011-10-05 6.24651961239537 41.0576378140413 555 18860.6951681579
2013-10-04 6.34285455424157 41.6890536907441 982 10823.4887245508
2015-09-02 6.52501054915474 42.8858616735749 501 21823.9387615561
2017-08-30 6.44910649093802 42.3852991963668 437 24728.0879071233
2017-10-20 6.46454736897897 42.4878455341449 828 13082.5105154297
2019-09-21 6.45349738574037 42.4113252229971 421 25683.6336744141
2019-10-01 6.45655140359246 42.4315011295741 654 16541.213523679
2022-09-15 6.43728454580497 42.301984364956 415 25987.7908815178
2023-09-12 6.40087993508955 42.0610039961833 379 28294.1821367571
