station year duration start
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2019 144 66
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2020 192 64
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2021 114 98
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2022 84 68
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2023 97 141
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2007 186 78
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2008 223 74
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2009 219 58
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2010 234 64
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2011 188 63
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2012 192 97
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2013 249 57
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2014 203 62
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2015 222 66
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2016 207 82
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2017 203 66
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2018 228 66
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2019 216 63
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2020 215 58
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2021 196 92
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2022 166 91
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2023 201 75
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2010 152 85
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2011 143 76
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2012 102 96
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2013 161 90
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2014 78 147
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2015 80 140
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2016 102 123
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2017 23 67
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2018 100 143
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2019 27 147
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2020 135 83
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2021 108 99
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2022 12 85
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2023 31 187
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2011 167 62
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2012 201 67
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2013 231 57
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2014 194 62
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2015 147 107
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2016 156 120
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2017 192 66
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2018 194 83
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2019 216 59
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2020 171 93
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2021 176 96
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2022 141 89
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2023 187 76
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2011 148 118
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2012 216 65
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2013 240 57
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2014 224 66
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2015 205 66
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2016 156 123
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2017 209 67
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2018 175 91
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2019 206 65
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2020 201 63
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2021 182 93
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2022 194 62
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2023 189 90
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2002 35 159
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2003 18 75
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2004 80 86
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2005 12 92
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2006 50 150
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2007 22 97
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2008 34 126
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2009 131 86
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2010 110 91
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2011 75 82
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2012 30 105
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2013 29 98
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2014 103 109
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2015 50 140
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2016 42 161
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2017 23 149
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2018 62 93
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2019 14 154
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2020 36 68
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2021 65 99
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2022 5 101
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2023 19 95
HSD_IT_PIE_AL_BRIC_CASTELLARO 2011 10 88
HSD_IT_PIE_AL_BRIC_CASTELLARO 2012 21 152
HSD_IT_PIE_AL_BRIC_CASTELLARO 2013 20 135
HSD_IT_PIE_AL_BRIC_CASTELLARO 2014 0 NA
HSD_IT_PIE_AL_BRIC_CASTELLARO 2015 7 140
HSD_IT_PIE_AL_BRIC_CASTELLARO 2016 5 187
HSD_IT_PIE_AL_BRIC_CASTELLARO 2017 0 NA
HSD_IT_PIE_AL_BRIC_CASTELLARO 2018 7 157
HSD_IT_PIE_AL_BRIC_CASTELLARO 2019 7 154
HSD_IT_PIE_AL_BRIC_CASTELLARO 2020 0 NA
