station year los
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2022 157
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2023 178
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2007 214
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2008 229
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2009 228
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2010 252
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2011 198
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2012 241
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2013 267
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2014 238
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2015 226
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2016 237
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2017 220
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2018 232
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2019 228
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2020 236
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2021 234
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2022 199
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2023 213
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2010 163
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2011 150
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2012 142
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2013 184
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2014 172
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2015 122
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2016 128
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2017 103
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2018 160
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2019 109
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2020 146
