2   2.25   1.75
2.07223   2.11214   1.67839
2.24197   2.21768   1.79354
2.37555   2.08929   1.91433
2.4543   2.09458   2.06382
2.26904   2.05288   1.91691
2.2717   2.08005   1.9904
2.17003   2.25908   2.07016
2.10022   2.27784   1.90123
2.20546   2.26628   1.77882
2.24212   2.43023   1.88613
2.08201   2.44977   1.96329
1.90401   2.28422   2.08413
1.96015   2.23271   1.98243
1.8265   2.21897   2.03077
1.83901   2.21021   1.88722
1.77411   2.3392   1.91772
1.62557   2.34231   1.77058
1.81304   2.45389   1.84202
1.92065   2.42116   1.72977
2.0638   2.38363   1.92168
2.12376   2.31315   1.71485
1.94276   2.10564   1.71975
1.8856   2.07565   1.70282
1.83562   1.99203   1.80336
1.75334   2.0718   1.61353
1.64458   1.93607   1.45013
1.43985   1.94927   1.60526
1.37824   1.88196   1.57731
1.61585   2.10499   1.38926
1.46388   1.95984   1.62065
1.42948   1.87996   1.47569
1.63093   2.0815   1.64969
1.61716   2.12114   1.82881
1.59351   2.28778   1.84923
1.82537   2.2437   1.69371
2.0502   2.19246   1.53512
2.19916   2.18802   1.63367
2.14305   1.9578   1.65316
2.15781   1.96561   1.57226
2.1765   2.09842   1.49924
2.12191   2.2443   1.67618
2.32485   2.13817   1.85928
2.09582   2.42808   1.56639
1.97679   2.28887   1.66685
1.93879   2.0261   1.40047
1.94088   2.19206   1.24212
2.22456   2.42447   0.995119
2.5277   2.21126   1.24013
2.33188   2.39663   1.54996
2.53795   2.67181   1.53772
2.62733   2.55305   1.29756
2.84726   2.58625   1.24914
2.83878   2.31295   1.03857
2.93275   2.48402   0.879119
2.96788   2.27582   0.939595
3.25961   2.08778   0.816029
3.42492   2.28711   0.964219
3.27816   2.32769   1.25953
3.41426   2.5302   1.38888
3.55058   2.30385   1.68113
3.65058   2.47821   1.52187
3.54385   2.64184   1.31022
3.56267   2.91577   1.51966
3.67901   2.7651   1.54576
4.04933   2.47909   1.80931
3.86423   2.42341   2.14547
4.00805   2.73751   1.78016
3.87258   2.58095   2.00108
3.69814   2.24948   1.79566
3.41188   2.21652   1.62342
3.77399   2.40255   1.38546
3.83535   2.60712   1.41549
4.11648   2.61755   1.24931
3.93684   2.58065   1.05576
3.84042   2.22227   0.900142
3.9902   2.21842   0.699209
4.36528   2.07542   0.42858
4.48458   2.23976   0.473484
4.14256   1.8604   0.468694
4.51356   1.80819   0.277849
4.6337   1.72221   0.268191
4.69062   1.77368   0.00915071
4.28924   1.94516   0.102581
4.15422   2.22432   0.195451
4.17177   2.6179   0.0136719
4.14654   2.95921   0.214586
4.31545   2.74797   0.654109
4.28354   3.04762   1.04921
3.87531   3.21681   1.29489
4.11942   3.68127   1.41755
3.85665   3.84259   1.13173
3.96574   3.39868   0.898396
