station year duration start
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2002 123 69
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2003 176 74
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2004 223 49
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2005 177 80
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2006 180 90
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2007 147 78
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2008 199 74
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2009 207 60
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2010 211 63
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2011 136 92
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2012 175 95
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2013 226 60
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2014 195 63
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2015 154 95
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2016 188 81
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2017 133 133
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2018 151 65
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2019 86 86
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2020 66 157
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2021 103 160
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2022 160 90
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2023 117 146
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2007 70 104
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2008 249 54
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2009 235 57
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2010 194 48
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2011 145 71
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2012 80 143
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2013 73 225
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2014 51 181
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2015 44 242
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2016 82 81
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2017 82 162
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2018 35 70
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2019 43 252
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2020 66 210
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2021 100 127
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2022 52 160
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2023 54 211
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2010 76 164
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2011 66 153
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2012 84 99
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2013 114 62
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2014 73 75
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2015 70 64
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2016 68 165
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2017 89 129
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2018 53 143
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2019 83 97
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2020 117 105
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2021 43 146
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2022 71 100
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2023 42 96
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2010 111 166
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2011 186 60
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2012 139 135
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2013 194 97
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2014 146 118
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2015 191 65
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2016 48 81
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2017 0 NA
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2018 77 228
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2019 0 NA
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2020 161 64
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2021 115 157
