station year los
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2005 195
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2006 183
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2007 173
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2008 199
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2009 207
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2010 215
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2011 189
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2012 191
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2013 228
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2014 201
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2015 186
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2016 195
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2017 210
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2018 211
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2019 198
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2020 191
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2021 191
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2022 187
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2023 194
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2007 184
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2008 254
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2009 251
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2010 279
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2011 234
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2012 259
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2013 253
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2014 215
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2015 209
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2016 231
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2017 223
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2018 194
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2019 220
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2020 222
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2021 244
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2022 193
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2023 231
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2010 180
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2011 162
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2012 152
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2013 199
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2014 168
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2015 161
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2016 144
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2017 170
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2018 178
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2019 150
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2020 158
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2021 140
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2022 139
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2023 144
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2010 114
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2011 189
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2012 202
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2013 220
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2014 206
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2015 191
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2016 72
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2017 0
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2018 181
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2019 0
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2020 201
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2021 201
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2022 189
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2023 201
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2011 179
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2012 218
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2013 234
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2014 227
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2015 213
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2016 233
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2017 219
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2018 208
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2019 230
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2020 184
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2021 182
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2022 188
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2023 148
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2001 16
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2002 165
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2003 262
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2004 271
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2005 157
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2006 97
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2007 82
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2008 122
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2009 161
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2010 145
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2011 145
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2012 101
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2013 153
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2014 152
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2015 101
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2016 82
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2017 99
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2018 142
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2019 65
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2020 111
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2021 86
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2022 49
HSD_IT_VDA_AO_CHAMPORCHER-PETIT_MONT_BLANC_3050 2023 66
HSD_IT_PIE_AL_BRIC_CASTELLARO 2011 43
HSD_IT_PIE_AL_BRIC_CASTELLARO 2012 29
HSD_IT_PIE_AL_BRIC_CASTELLARO 2013 75
HSD_IT_PIE_AL_BRIC_CASTELLARO 2014 23
HSD_IT_PIE_AL_BRIC_CASTELLARO 2015 23
HSD_IT_PIE_AL_BRIC_CASTELLARO 2016 17
HSD_IT_PIE_AL_BRIC_CASTELLARO 2017 15
HSD_IT_PIE_AL_BRIC_CASTELLARO 2018 51
HSD_IT_PIE_AL_BRIC_CASTELLARO 2019 16
HSD_IT_PIE_AL_BRIC_CASTELLARO 2020 4
HSD_IT_PIE_AL_BRIC_CASTELLARO 2021 57
HSD_IT_PIE_AL_BRIC_CASTELLARO 2022 20
HSD_IT_PIE_AL_BRIC_CASTELLARO 2023 11
HSD_IT_PIE_BI_PIEDICAVALLO 1998 71
HSD_IT_PIE_BI_PIEDICAVALLO 1999 81
HSD_IT_PIE_BI_PIEDICAVALLO 2000 101
HSD_IT_PIE_BI_PIEDICAVALLO 2001 79
HSD_IT_PIE_BI_PIEDICAVALLO 2002 75
HSD_IT_PIE_BI_PIEDICAVALLO 2003 48
HSD_IT_PIE_BI_PIEDICAVALLO 2004 94
HSD_IT_PIE_BI_PIEDICAVALLO 2005 86
HSD_IT_PIE_BI_PIEDICAVALLO 2006 128
HSD_IT_PIE_BI_PIEDICAVALLO 2007 37
HSD_IT_PIE_BI_PIEDICAVALLO 2008 81
HSD_IT_PIE_BI_PIEDICAVALLO 2009 133
HSD_IT_PIE_BI_PIEDICAVALLO 2010 195
HSD_IT_PIE_BI_PIEDICAVALLO 2011 156
HSD_IT_PIE_BI_PIEDICAVALLO 2012 38
HSD_IT_PIE_BI_PIEDICAVALLO 2013 95
HSD_IT_PIE_BI_PIEDICAVALLO 2014 125
HSD_IT_PIE_BI_PIEDICAVALLO 2015 75
HSD_IT_PIE_BI_PIEDICAVALLO 2016 42
HSD_IT_PIE_BI_PIEDICAVALLO 2017 44
HSD_IT_PIE_BI_PIEDICAVALLO 2018 50
HSD_IT_PIE_BI_PIEDICAVALLO 2019 24
HSD_IT_PIE_BI_PIEDICAVALLO 2020 52
HSD_IT_PIE_BI_PIEDICAVALLO 2021 100
HSD_IT_PIE_BI_PIEDICAVALLO 2022 40
HSD_IT_PIE_BI_PIEDICAVALLO 2023 56
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2007 120
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2008 242
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2009 229
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2010 183
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2011 207
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2012 145
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2013 200
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2014 200
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2015 171
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2016 109
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2017 162
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2018 199
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2019 183
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2020 177
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2021 168
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2022 180
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2023 172
HSD_IT_PIE_SV_SETTEPANI 2004 200
HSD_IT_PIE_SV_SETTEPANI 2005 129
HSD_IT_PIE_SV_SETTEPANI 2006 202
HSD_IT_PIE_SV_SETTEPANI 2007 93
HSD_IT_PIE_SV_SETTEPANI 2008 145
HSD_IT_PIE_SV_SETTEPANI 2009 172
HSD_IT_PIE_SV_SETTEPANI 2010 283
HSD_IT_PIE_SV_SETTEPANI 2011 192
HSD_IT_PIE_SV_SETTEPANI 2012 45
HSD_IT_PIE_SV_SETTEPANI 2013 163
HSD_IT_PIE_SV_SETTEPANI 2014 145
HSD_IT_PIE_SV_SETTEPANI 2015 91
HSD_IT_PIE_SV_SETTEPANI 2016 61
HSD_IT_PIE_SV_SETTEPANI 2017 86
HSD_IT_PIE_SV_SETTEPANI 2018 125
HSD_IT_PIE_SV_SETTEPANI 2019 115
HSD_IT_PIE_SV_SETTEPANI 2020 76
HSD_IT_PIE_SV_SETTEPANI 2021 127
HSD_IT_PIE_SV_SETTEPANI 2022 72
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2004 192
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2005 125
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2006 140
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2007 119
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2008 146
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2009 149
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2010 160
