name year snow t_excess ddf
HSD_AT_110791 2008 19.16 19.15 1.00052219321149
HSD_AT_110791 2009 511.61 268.95 1.90224948875256
HSD_AT_110791 2010 78.5233333333333 90.5 0.867661141804788
HSD_AT_110791 2012 12.2216666666667 49.8 0.24541499330656
HSD_AT_110791 2013 227.506666666667 156.8 1.45093537414966
HSD_AT_110791 2015 23.555 48.2 0.488692946058091
HSD_AT_110791 2019 151.935 48.1 3.15873180873181
HSD_AT_110791 2020 68.345 127.75 0.534990215264188
HSD_AT_113100 1971 131.756666666667 33.95 3.88090328915071
HSD_AT_113100 1972 185.731666666667 50.5 3.67785478547855
HSD_AT_113100 1973 53.8433333333333 36.1 1.49150507848569
HSD_AT_113100 1976 227.185 46.85 4.84919957310566
HSD_AT_113100 1977 253.928333333333 109.75 2.31369779802582
HSD_AT_113100 1979 191.253333333333 61.5 3.10981029810298
HSD_AT_113100 1980 209.598333333333 49.65 4.22151728768043
HSD_AT_113100 1981 118.603333333333 65.45 1.81212121212121
HSD_AT_113100 1982 135.228333333333 77 1.75621212121212
HSD_AT_113100 1984 233.995 80.15 2.91946350592639
HSD_AT_113100 1985 59.5783333333333 30.15 1.97606412382532
HSD_AT_113100 1986 273.998333333333 122.75 2.23216564833673
HSD_AT_113100 1987 177.493333333333 77.85 2.2799400556626
HSD_AT_113100 1988 212.531666666667 80.55 2.63850610386923
HSD_AT_113100 1991 208.246666666667 60.3 3.45351022664456
HSD_AT_113100 1992 193.416666666667 65.65 2.94617923330795
HSD_AT_113100 1993 45.6433333333333 33.4 1.36656686626746
HSD_AT_113100 1994 79.56 95 0.837473684210526
HSD_AT_113100 1995 99.065 93.9 1.05500532481363
HSD_AT_113100 1997 90.695 86.9 1.04367088607595
HSD_AT_113100 1998 52.05 94.3 0.551961823966066
HSD_AT_113100 1999 116.875 102.85 1.13636363636364
HSD_AT_113100 2000 98.595 59.75 1.65012552301255
HSD_AT_113100 2003 50.6 47.75 1.05968586387435
HSD_AT_113100 2004 102.593333333333 81.6 1.25727124183007
HSD_AT_113100 2005 135.048333333333 99.8 1.35318971275885
HSD_AT_113100 2006 145.563333333333 56.7 2.56725455614344
HSD_AT_113100 2007 91.2066666666667 86.25 1.05746859903382
HSD_AT_113100 2008 59.3533333333333 96.9 0.612521499828001
HSD_AT_113100 2009 398.056666666667 154.35 2.57892236259583
HSD_AT_113100 2010 69.4933333333334 63.85 1.08838423388149
HSD_AT_113100 2011 116.326666666667 97.2 1.19677640603567
HSD_AT_113100 2012 83.8266666666667 74.65 1.1229292252735
HSD_AT_113100 2013 173.115 111.15 1.55748987854251
HSD_AT_113100 2014 352.608333333333 226.7 1.55539626525511
HSD_AT_113100 2015 19.9033333333333 33.1 0.601309164149043
HSD_AT_113100 2016 135.2 82.8 1.63285024154589
HSD_AT_113100 2017 6.5 6.85 0.948905109489051
HSD_AT_113100 2018 153.376666666667 102.75 1.49271695052717
HSD_AT_113100 2020 364.213333333333 180.1 2.02228391634277
HSD_AT_113118 1971 169.716666666667 70.15 2.41933951057258
HSD_AT_113118 1972 175.388333333333 103.45 1.69539229901724
HSD_AT_113118 1973 81.5833333333333 61.5 1.32655826558266
HSD_AT_113118 1974 77.8583333333333 20.45 3.80725346373268
HSD_AT_113118 1976 205.183333333333 173 1.18603082851638
HSD_AT_113118 1977 256.416666666667 122.65 2.09063731485256
HSD_AT_113118 1978 292.918333333333 107.5 2.72482170542636
HSD_AT_113118 1979 227.928333333333 130.3 1.74925812228191
HSD_AT_113118 1981 92.4566666666667 62.4 1.48167735042735
HSD_AT_113118 1982 144.543333333333 60.7 2.38127402526085
HSD_AT_113118 1984 251.731666666667 106.55 2.36256843422493
HSD_AT_113118 1985 73.6183333333333 22.35 3.29388516032811
HSD_AT_113118 1986 234.756666666667 142.2 1.6508907641819
HSD_AT_113118 1987 183.81 64.7 2.84095826893354
HSD_AT_113118 1988 80.9683333333333 42.35 1.91188508461236
HSD_AT_113118 1991 232.191666666667 116.2 1.99820711417097
HSD_AT_113118 1992 66.8466666666667 48.35 1.38255773871079
HSD_AT_113118 1993 34.7766666666667 30.6 1.13649237472767
HSD_AT_113118 1994 49.585 19.55 2.53631713554987
HSD_AT_113118 1995 62.2633333333333 20.25 3.07473251028807
HSD_AT_113118 1996 107.11 47.7 2.24549266247379
HSD_AT_113118 1997 69.3266666666667 82.6 0.839305891848265
HSD_AT_113118 1999 103.923333333333 89.35 1.16310389852639
HSD_AT_113118 2000 86.9566666666667 37.6 2.31267730496454
HSD_AT_113118 2003 31.3433333333333 44.4 0.705930930930931
HSD_AT_113118 2004 135.15 130.7 1.03404743687835
HSD_AT_113118 2005 88.695 68.05 1.30337986774431
HSD_AT_113118 2006 167.106666666667 76.55 2.18297409100806
HSD_AT_113118 2007 65.9066666666667 125.3 0.525990955041234
HSD_AT_113118 2008 12.0516666666667 13.35 0.902746566791511
HSD_AT_113118 2009 461.186666666667 148.35 3.10877429502303
HSD_AT_113118 2010 62.41 51.7 1.20715667311412
HSD_AT_113118 2012 14.3633333333333 2.65 5.42012578616352
HSD_AT_113118 2013 135.945 74.5 1.82476510067114
HSD_AT_113118 2014 367.52 215.95 1.70187543412827
HSD_AT_113118 2015 21.4 20.15 1.06203473945409
HSD_AT_113118 2016 18.4016666666667 56.55 0.325405246094901
HSD_AT_113118 2017 4.67 3.25 1.43692307692308
HSD_AT_113118 2018 122.078333333333 86.1 1.41786682152536
HSD_AT_113118 2019 141.756666666667 58.3 2.43150371640938
HSD_AT_113118 2020 65.295 52 1.25567307692308
HSD_AT_113126 1971 153.235 62.65 2.44588986432562
HSD_AT_113126 1973 92.7383333333333 57.85 1.60308268510516
HSD_AT_113126 1974 26.09 14.75 1.76881355932203
HSD_AT_113126 1976 196.388333333333 100.65 1.95120052988905
HSD_AT_113126 1977 264.106666666667 98.9 2.67044152342433
HSD_AT_113126 1978 316.815 51.5 6.15174757281553
HSD_AT_113126 1979 254.576666666667 65.7 3.87483510908169
HSD_AT_113126 1980 190.27 94.75 2.00812664907652
HSD_AT_113126 1981 113.71 85.95 1.32297847585806
HSD_AT_113126 1982 176.956666666667 109.25 1.6197406559878
HSD_AT_113126 1984 257.865 95.1 2.7115141955836
HSD_AT_113126 1985 68.3733333333333 56.75 1.20481644640235
HSD_AT_113126 1986 199.245 159.5 1.24918495297806
