HSD_IT_PIE_CN_COLLE_LOMBARDA 2016 9303 NEG
HSD_IT_PIE_CN_COLLE_LOMBARDA 2016 9319 POS
HSD_IT_PIE_CN_COLLE_LOMBARDA 2021 11144 NEG
HSD_IT_PIE_CN_COLLE_LOMBARDA 2021 11163 POS
HSD_IT_PIE_CN_LIMONE_PANCANI_2008m 1993 942 NEG
HSD_IT_PIE_CN_LIMONE_PANCANI_2008m 1993 956 POS
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2009 1942 NEG
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2009 1970 POS
HSD_IT_PIE_TO_COLLE_BARANT 2018 10048 NEG
HSD_IT_PIE_TO_COLLE_BARANT 2018 10070 POS
HSD_IT_PIE_TO_COLLE_BARANT 2018 10075 NEG
HSD_IT_PIE_TO_COLLE_BARANT 2018 10089 POS
HSD_IT_PIE_TO_COLLE_BARANT 2020 10728 NEG
HSD_IT_PIE_TO_COLLE_BARANT 2020 10749 POS
HSD_IT_PIE_TO_RIFUGIO_GASTALDI 1992 416 NEG
HSD_IT_PIE_TO_RIFUGIO_GASTALDI 1992 433 POS
HSD_IT_PIE_TO_RIFUGIO_GASTALDI 1993 951 NEG
HSD_IT_PIE_TO_RIFUGIO_GASTALDI 1993 1005 POS
HSD_IT_PIE_TO_RIFUGIO_GASTALDI 1994 1147 NEG
HSD_IT_PIE_TO_RIFUGIO_GASTALDI 1994 1167 POS
HSD_IT_PIE_VB_FORMAZZA 1993 944 NEG
HSD_IT_PIE_VB_FORMAZZA 1993 1008 POS
HSD_IT_PIE_VB_FORMAZZA 1995 1547 NEG
HSD_IT_PIE_VB_FORMAZZA 1995 1644 POS
HSD_IT_PIE_VB_FORMAZZA 2020 10750 NEG
HSD_IT_PIE_VB_FORMAZZA 2020 10764 POS
HSD_IT_PIE_VC_BOCCHETTA_DELLE_PISSE 1993 834 NEG
HSD_IT_PIE_VC_BOCCHETTA_DELLE_PISSE 1993 854 POS
HSD_IT_PIE_VC_BOCCHETTA_DELLE_PISSE 1993 858 NEG
HSD_IT_PIE_VC_BOCCHETTA_DELLE_PISSE 1993 884 POS
HSD_IT_PIE_VC_BOCCHETTA_DELLE_PISSE 1993 927 NEG
HSD_IT_PIE_VC_BOCCHETTA_DELLE_PISSE 1993 956 POS
HSD_IT_PIE_VC_BOCCHETTA_DELLE_PISSE 1993 958 NEG
HSD_IT_PIE_VC_BOCCHETTA_DELLE_PISSE 1993 983 POS
HSD_IT_PIE_VC_BOCCHETTA_DELLE_PISSE 1994 1173 NEG
HSD_IT_PIE_VC_BOCCHETTA_DELLE_PISSE 1994 1188 POS
HSD_IT_FVG_Casetta_in_Canada 2018 3819 NEG
HSD_IT_FVG_Casetta_in_Canada 2018 3836 POS
HSD_IT_BZ_Diga_di_Neves_Osservatore 2012 6696 NEG
HSD_IT_BZ_Diga_di_Neves_Osservatore 2012 6726 POS
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2009 5280 NEG
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2009 5295 POS
HSD_FR_METEOFRANCE_Agnieres_en_devoluy 1999 11091 NEG
HSD_FR_METEOFRANCE_Agnieres_en_devoluy 1999 11107 POS
HSD_FR_METEOFRANCE_Agnieres_en_devoluy 1999 11109 NEG
HSD_FR_METEOFRANCE_Agnieres_en_devoluy 1999 11143 POS
HSD_FR_METEOFRANCE_Aiguilles_rouges_nivose 1995 3465 NEG
HSD_FR_METEOFRANCE_Aiguilles_rouges_nivose 1995 3531 POS
HSD_FR_METEOFRANCE_Avrieux 2018 3393 NEG
HSD_FR_METEOFRANCE_Avrieux 2018 3411 POS
HSD_FR_METEOFRANCE_Bellecote_nivose 2018 5414 NEG
HSD_FR_METEOFRANCE_Bellecote_nivose 2018 5433 POS
HSD_FR_METEOFRANCE_Bonneval_nivose 2005 172 NEG
HSD_FR_METEOFRANCE_Bonneval_nivose 2005 189 POS
HSD_FR_METEOFRANCE_Bonneval_nivose 2018 4879 NEG
HSD_FR_METEOFRANCE_Bonneval_nivose 2018 4985 POS
HSD_FR_METEOFRANCE_Col_des_saisies_73132003 2005 3861 NEG
HSD_FR_METEOFRANCE_Col_des_saisies_73132003 2005 3875 POS
HSD_FR_METEOFRANCE_Col_des_saisies_73132003 2019 8966 NEG
